순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,SSG,144,109,9,3904,1455,138,0.980,4,107,31,22.5
2,키움,144,118,3,3889,1549,134,0.979,7,85,42,33.1
3,LG,144,89,6,3864,1394,139,0.983,7,113,26,18.7
4,KT,144,97,13,3862,1425,132,0.982,8,69,26,27.4
5,삼성,144,118,9,3861,1448,125,0.978,6,51,35,40.7
6,NC,144,127,4,3860,1360,115,0.976,9,60,42,41.2
7,롯데,144,114,3,3842,1403,124,0.979,11,99,39,28.3
8,KIA,144,107,5,3839,1378,111,0.980,8,64,41,39.0
9,두산,144,117,3,3838,1394,128,0.978,13,95,34,26.4
10,한화,144,134,7,3805,1406,111,0.975,8,121,51,29.7
