순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,정수빈,두산,137,47,39,8,83.0,5,3
2,신민재,LG,122,54,37,17,68.5,6,1
3,박찬호,KIA,130,38,30,8,78.9,5,1
4,박해민,LG,144,38,26,12,68.4,11,2
4,박민우,NC,124,33,26,7,78.8,4,1
4,류지혁,삼성,132,28,26,2,92.9,7,2
4,조수행,두산,126,32,26,6,81.3,4,0
8,김혜성,키움,137,28,25,3,89.3,6,2
8,김도영,KIA,84,29,25,4,86.2,2,2
10,문성주,LG,136,38,24,14,63.2,6,2
11,홍창기,LG,141,46,23,23,50.0,10,3
12,최지훈,SSG,117,23,21,2,91.3,4,3
13,오태곤,SSG,123,21,20,1,95.2,2,0
13,김성윤,삼성,101,24,20,4,83.3,1,0
15,알포드,KT,133,21,17,4,81.0,12,1
16,오지환,LG,126,23,16,7,69.6,7,2
16,김민석,롯데,129,19,16,3,84.2,3,2
16,안권수,롯데,95,23,16,7,69.6,2,2
19,소크라테스,KIA,142,21,15,6,71.4,3,1
19,김주원,NC,127,18,15,3,83.3,6,1
19,마틴,NC,118,18,15,3,83.3,9,1
19,박승욱,롯데,123,19,15,4,78.9,1,0
23,손아섭,NC,140,17,14,3,82.4,4,1
24,배정대,KT,97,16,13,3,81.3,3,0
24,최원준,KIA,67,18,13,5,72.2,1,1
24,김지찬,삼성,99,14,13,1,92.9,4,1
24,강승호,두산,127,19,13,6,68.4,4,1
24,이원석,한화,81,16,13,3,81.3,3,0
29,에레디아,SSG,122,20,12,8,60.0,5,1
29,구자욱,삼성,119,16,12,4,75.0,4,2
29,이유찬,두산,104,17,12,5,70.6,3,1
32,하재훈,SSG,77,11,11,0,100,0,1
32,김민혁,KT,113,15,11,4,73.3,5,0
32,이도윤,한화,106,14,11,3,78.6,0,0
35,도슨,키움,57,11,9,2,81.8,2,0
35,문보경,LG,131,17,9,8,52.9,8,2
35,이창진,KIA,104,11,9,2,81.8,1,0
35,전준우,롯데,138,11,9,2,81.8,7,0
35,황성빈,롯데,74,14,9,5,64.3,0,1
35,허경민,두산,130,12,9,3,75.0,3,1
41,최승민,LG,38,11,8,3,72.7,1,1
41,이우성,KIA,126,9,8,1,88.9,7,0
41,고승민,롯데,94,11,8,3,72.7,2,0
41,양의지,두산,129,8,8,0,100,7,1
45,최정,SSG,128,10,7,3,70.0,6,0
45,오스틴,LG,139,10,7,3,70.0,5,2
45,안치영,KT,76,8,7,1,87.5,0,0
45,박건우,NC,130,12,7,5,58.3,5,0
45,노진혁,롯데,113,9,7,2,77.8,2,0
50,추신수,SSG,112,10,6,4,60.0,4,0
50,이정후,키움,86,9,6,3,66.7,1,1
50,김규성,KIA,99,8,6,2,75.0,0,1
50,김성욱,NC,93,7,6,1,85.7,0,1
50,강민호,삼성,125,7,6,1,85.7,5,0
50,피렐라,삼성,139,10,6,4,60.0,7,1
50,정은원,한화,122,9,6,3,66.7,1,1
57,김상수,KT,129,11,5,6,45.5,4,2
57,김현준,삼성,109,10,5,5,50.0,4,1
57,이재현,삼성,143,9,5,4,55.6,8,0
57,김태연,한화,91,6,5,1,83.3,3,0
57,문현빈,한화,137,6,5,1,83.3,6,3
57,이진영,한화,121,5,5,0,100,4,1
57,장진혁,한화,68,9,5,4,55.6,0,0
64,김성현,SSG,112,5,4,1,80.0,2,0
64,박성한,SSG,128,5,4,1,80.0,4,3
64,임병욱,키움,80,4,4,0,100,4,0
64,이재원,LG,57,6,4,2,66.7,0,0
64,이호연,KT,85,6,4,2,66.7,3,0
64,조용호,KT,63,4,4,0,100,3,0
64,최정용,KIA,56,4,4,0,100,1,0
64,박영빈,NC,41,6,4,2,66.7,2,0
64,서호철,NC,114,9,4,5,44.4,3,1
64,최정원,NC,39,5,4,1,80.0,1,0
64,이성규,삼성,109,7,4,3,57.1,1,0
64,이학주,롯데,104,5,4,1,80.0,1,0
64,김재호,두산,91,4,4,0,100,2,0
64,양석환,두산,140,4,4,0,100,9,0
78,안상현,SSG,58,4,3,1,75.0,0,0
78,이주형,키움,69,4,3,1,75.0,0,1
78,서건창,LG,44,6,3,3,50.0,3,0
78,강백호,KT,71,3,3,0,100,4,0
78,문상철,KT,112,4,3,1,75.0,3,0
78,송민섭,KT,69,4,3,1,75.0,1,0
