순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,에레디아,SSG,0.360,53,128,154,0.83,13,0.38,3.46,0.177,105.2,0.314
2,레이예스,롯데,0.352,58,168,133,1.26,13,0.56,3.87,0.159,106.2,0.305
3,김도영,KIA,0.347,77,101,151,0.67,15,0.60,3.81,0.300,138.2,0.351
4,구자욱,삼성,0.343,73,128,129,0.99,12,0.75,3.80,0.284,118.5,0.344
5,송성문,키움,0.340,52,136,138,0.99,11,0.78,3.88,0.178,111.4,0.314
6,홍창기,LG,0.336,26,159,100,1.59,6,1.03,4.14,0.074,99.5,0.304
7,로하스,KT,0.329,72,112,161,0.70,12,0.77,4.00,0.240,126.7,0.331
8,김선빈,KIA,0.329,32,139,106,1.31,4,0.77,3.80,0.118,65.1,0.283
9,박민우,NC,0.328,36,106,126,0.84,3,0.68,3.90,0.118,85.4,0.294
10,김혜성,키움,0.326,41,132,156,0.85,9,0.76,3.82,0.132,90.9,0.287
11,오스틴,LG,0.319,67,100,190,0.53,14,0.74,3.78,0.254,112.1,0.316
12,김지찬,삼성,0.316,22,153,118,1.30,3,1.50,3.78,0.068,79.8,0.278
13,양의지,두산,0.314,36,96,149,0.64,15,0.71,3.71,0.165,74.6,0.290
14,나승엽,롯데,0.312,46,88,116,0.76,5,0.83,4.05,0.157,80.2,0.302
15,소크라테스,KIA,0.310,59,125,170,0.74,9,0.45,3.66,0.207,98.1,0.291
16,허경민,두산,0.309,35,125,144,0.87,4,1.44,3.69,0.118,69.3,0.280
17,고승민,롯데,0.308,47,124,139,0.89,6,0.53,3.85,0.168,78.9,0.280
18,박찬호,KIA,0.307,30,165,154,1.07,7,1.09,3.76,0.080,72.2,0.260
19,데이비슨,NC,0.306,72,83,132,0.63,9,0.27,3.78,0.327,110.1,0.325
20,강민호,삼성,0.303,39,124,111,1.12,9,0.67,3.46,0.194,68.8,0.288
21,박성한,SSG,0.301,34,139,123,1.13,5,0.74,4.23,0.110,78.5,0.274
22,문보경,LG,0.301,60,125,139,0.90,7,0.58,4.04,0.206,96.0,0.294
23,권희동,NC,0.300,36,113,121,0.93,8,1.22,4.54,0.151,82.2,0.301
24,안치홍,한화,0.300,34,118,147,0.80,8,0.70,3.91,0.127,73.8,0.273
25,신민재,LG,0.297,17,145,83,1.75,3,1.36,3.73,0.059,63.0,0.270
26,김현수,LG,0.294,46,125,173,0.72,10,0.62,3.73,0.124,78.4,0.265
27,윤동희,롯데,0.293,53,134,133,1.01,6,0.59,4.26,0.160,88.3,0.282
28,전준우,롯데,0.293,45,102,118,0.86,5,0.58,3.83,0.191,73.6,0.287
29,최원준,KIA,0.292,35,127,122,1.04,8,0.76,4.01,0.128,71.2,0.272
30,최정,SSG,0.291,66,75,150,0.50,14,0.48,3.84,0.303,103.9,0.321
31,김태연,한화,0.291,36,100,108,0.93,3,0.51,3.92,0.145,64.8,0.272
32,강백호,KT,0.289,53,139,127,1.09,9,0.46,4.00,0.191,93.4,0.282
33,이우성,KIA,0.288,26,108,90,1.20,7,0.49,4.00,0.113,55.5,0.263
34,서호철,NC,0.285,32,141,127,1.11,4,0.30,3.78,0.107,65.1,0.252
35,정수빈,두산,0.284,28,160,141,1.13,4,0.99,4.10,0.076,81.8,0.259
36,김재환,두산,0.283,57,65,116,0.56,7,0.38,4.02,0.243,91.9,0.297
37,강승호,두산,0.280,59,97,124,0.78,9,0.20,3.78,0.196,78.9,0.267
38,최형우,KIA,0.280,47,99,126,0.79,12,0.60,4.04,0.219,77.0,0.287
39,최지훈,SSG,0.275,40,117,164,0.71,4,0.70,4.05,0.143,74.4,0.260
40,배정대,KT,0.275,33,86,100,0.86,3,0.44,4.00,0.119,59.5,0.258
41,페라자,한화,0.275,48,103,100,1.03,7,0.49,3.96,0.211,79.4,0.285
42,박동원,LG,0.272,42,107,104,1.03,4,0.49,4.04,0.189,69.5,0.272
43,노시환,한화,0.272,46,114,144,0.79,6,0.47,3.99,0.183,86.2,0.274
44,채은성,한화,0.271,44,100,140,0.71,7,0.59,3.81,0.193,70.4,0.274
45,장성우,KT,0.268,38,90,138,0.65,14,0.70,4.09,0.182,71.4,0.272
46,이주형,키움,0.266,35,111,118,0.94,5,0.41,3.79,0.135,70.1,0.259
47,박해민,LG,0.263,28,102,161,0.63,4,0.46,4.08,0.095,68.5,0.241
48,박승욱,롯데,0.262,27,98,84,1.17,6,0.39,3.88,0.104,53.3,0.249
49,이재현,삼성,0.260,33,87,121,0.72,5,0.70,4.38,0.159,62.1,0.269
50,황재균,KT,0.260,35,113,159,0.71,5,0.36,3.84,0.124,53.5,0.235
51,김휘집,NC,0.258,41,91,160,0.57,8,0.44,4.14,0.152,68.3,0.254
52,최주환,키움,0.257,37,108,167,0.65,7,0.51,4.08,0.133,63.3,0.244
53,김영웅,삼성,0.252,47,78,112,0.70,8,0.29,3.83,0.232,75.1,0.266
54,김주원,NC,0.252,29,72,110,0.65,3,0.46,4.07,0.127,62.3,0.262
55,양석환,두산,0.246,60,96,181,0.53,10,0.38,4.05,0.242,80.8,0.264
56,한유섬,SSG,0.235,53,90,126,0.71,8,0.32,4.14,0.218,68.9,0.255
