순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,박해민,LG,중견수,144,136,1179,1,0,310,6,2,0.997,0,0,0,-
2,노시환,한화,3루수,143,143,1262 1/3,17,0,99,218,17,0.949,0,0,0,-
3,김주원,NC,유격수,140,139,1166,29,0,246,336,79,0.953,0,0,0,-
4,이재현,삼성,유격수,136,132,1117,23,0,217,333,73,0.960,0,0,0,-
4,최지훈,SSG,중견수,136,128,1136,5,0,249,3,1,0.981,0,0,0,-
6,박찬호,KIA,유격수,134,131,1114 1/3,16,0,229,356,84,0.973,0,0,0,-
7,케이브,두산,우익수,132,131,1127 1/3,2,0,228,6,0,0.992,0,0,0,-
8,정수빈,두산,중견수,131,128,1077 1/3,3,0,262,4,2,0.989,0,0,0,-
9,박동원,LG,포수,130,102,938 1/3,8,2,784,78,11,0.991,2,67,18,21.2
9,신민재,LG,2루수,130,113,992 2/3,12,0,245,320,87,0.979,0,0,0,-
9,김휘집,NC,3루수,130,119,1005,19,0,106,193,20,0.940,0,0,0,-
12,디아즈,삼성,1루수,128,126,1085 1/3,4,0,1013,87,89,0.996,0,0,0,-
13,박성한,SSG,유격수,127,124,1065 1/3,20,0,222,340,90,0.966,0,0,0,-
14,강민호,삼성,포수,123,104,876 2/3,2,0,740,40,3,0.997,8,72,11,13.3
14,오지환,LG,유격수,123,107,939 1/3,9,0,148,295,67,0.980,0,0,0,-
14,고명준,SSG,1루수,123,120,986,3,0,850,81,91,0.997,0,0,0,-
14,정준재,SSG,2루수,123,102,932 2/3,9,0,214,297,78,0.983,0,0,0,-
14,김형준,NC,포수,123,107,906,4,1,782,78,8,0.995,6,47,26,35.6
19,최재훈,한화,포수,121,107,813,5,1,856,68,8,0.995,8,58,18,23.7
20,권동진,KT,유격수,119,81,740 1/3,15,0,150,236,40,0.963,0,0,0,-
20,이주형,키움,중견수,119,110,967,1,0,328,2,0,0.997,0,0,0,-
22,김영웅,삼성,3루수,118,114,964 1/3,11,0,81,207,23,0.963,0,0,0,-
23,류지혁,삼성,2루수,113,100,811 1/3,4,0,184,254,58,0.991,0,0,0,-
23,허경민,KT,3루수,113,110,936 1/3,10,0,75,161,10,0.959,0,0,0,-
23,채은성,한화,1루수,113,112,929 2/3,6,0,816,31,59,0.993,0,0,0,-
26,장성우,KT,포수,112,98,836 2/3,5,0,708,43,5,0.993,4,104,11,9.6
27,송성문,키움,3루수,111,108,935 1/3,13,0,103,202,29,0.959,0,0,0,-
28,어준서,키움,유격수,109,95,763,26,0,139,196,43,0.928,0,0,0,-
29,황영묵,한화,2루수,107,61,627 2/3,6,0,118,187,35,0.981,0,0,0,-
30,문현빈,한화,좌익수,105,104,876 1/3,3,0,137,8,0,0.980,0,0,0,-
31,김호령,KIA,중견수,104,94,852 2/3,6,0,218,7,1,0.974,0,0,0,-
31,김건희,키움,포수,104,85,731,5,2,532,64,7,0.992,11,54,28,34.1
33,권희동,NC,좌익수,103,82,669 1/3,1,0,135,7,0,0.993,0,0,0,-
34,조형우,SSG,포수,102,80,696 1/3,4,5,659,60,7,0.994,3,56,22,28.2
35,박민우,NC,2루수,100,96,766 1/3,10,0,205,259,58,0.979,0,0,0,-
36,구자욱,삼성,좌익수,99,95,791 1/3,3,0,162,1,0,0.982,0,0,0,-
36,김상수,KT,2루수,99,90,742 1/3,6,0,167,268,45,0.986,0,0,0,-
38,레이예스,롯데,좌익수,98,88,752 2/3,1,0,146,3,1,0.993,0,0,0,-
38,유강남,롯데,포수,98,92,641 1/3,2,0,588,47,3,0.997,5,66,6,8.3
38,이재원,한화,포수,98,35,409 2/3,6,0,406,33,4,0.987,2,35,8,18.6
41,최주환,키움,1루수,97,95,819 1/3,6,0,698,47,67,0.992,0,0,0,-
42,오스틴,LG,1루수,96,94,793,8,0,723,61,66,0.990,0,0,0,-
43,김태군,KIA,포수,95,79,656 1/3,7,2,554,70,7,0.989,3,62,21,25.3
43,문보경,LG,3루수,95,91,753 2/3,14,0,48,153,13,0.935,0,0,0,-
45,양의지,두산,포수,94,92,726,5,2,636,49,5,0.993,6,49,17,25.8
45,나승엽,롯데,1루수,94,91,738 1/3,8,0,667,44,54,0.989,0,0,0,-
45,이진영,한화,우익수,94,81,642 1/3,2,0,127,3,0,0.985,0,0,0,-
48,한준수,KIA,포수,93,57,525 1/3,3,0,452,36,5,0.994,5,44,12,21.4
48,안현민,KT,우익수,93,84,699 2/3,7,0,149,14,1,0.959,0,0,0,-
48,전민재,롯데,유격수,93,87,726 2/3,15,0,116,209,50,0.956,0,0,0,-
48,정보근,롯데,포수,93,34,397,2,0,374,21,1,0.995,6,28,5,15.2
52,배정대,KT,중견수,92,64,617 1/3,1,0,156,2,1,0.994,0,0,0,-
53,심우준,한화,유격수,91,81,685,7,0,140,201,40,0.980,0,0,0,-
54,김민혁,KT,좌익수,90,83,662 2/3,1,0,127,1,0,0.992,0,0,0,-
55,위즈덤,KIA,1루수,88,60,552,4,0,536,28,48,0.993,0,0,0,-
55,김기연,두산,포수,88,48,492 1/3,4,1,402,22,4,0.991,4,47,11,19.0
57,데이비슨,NC,1루수,87,87,660 1/3,2,0,572,46,53,0.997,0,0,0,-
58,에레디아,SSG,좌익수,86,86,740 2/3,2,0,194,6,0,0.990,0,0,0,-
59,윤동희,롯데,우익수,85,73,646 2/3,3,0,130,2,0,0.978,0,0,0,-
60,장두성,롯데,중견수,82,46,467 1/3,2,0,135,2,0,0.986,0,0,0,-
60,정현수,롯데,투수,82,0,47 2/3,0,0,3,4,0,1.000,0,0,0,-
62,한유섬,SSG,우익수,81,79,642,2,0,122,3,1,0.984,0,0,0,-
63,문성주,LG,우익수,80,76,644 1/3,1,0,144,4,0,0.993,0,0,0,-
63,최원준,NC,중견수,80,71,611 2/3,1,0,158,6,1,0.994,0,0,0,-
65,김규성,KIA,2루수,79,25,301 2/3,4,0,65,97,21,0.976,0,0,0,-
65,황재균,KT,1루수,79,65,561 2/3,3,0,541,50,38,0.995,0,0,0,-
67,김진성,LG,투수,78,0,70 2/3,0,2,2,9,0,1.000,0,0,0,-
68,오선우,KIA,1루수,77,59,505 1/3,10,0,482,33,43,0.981,0,0,0,-
68,김지찬,삼성,중견수,77,69,565,1,0,157,1,1,0.994,0,0,0,-
68,노경은,SSG,투수,77,0,80,0,0,3,8,0,1.000,0,0,0,-
71,김현수,LG,좌익수,76,74,560 2/3,2,0,115,3,0,0.983,0,0,0,-
71,김진호,NC,투수,76,0,72 1/3,0,2,4,8,0,1.000,0,0,0,-
73,이로운,SSG,투수,75,0,77,0,1,2,13,0,1.000,0,0,0,-
73,정철원,롯데,투수,75,0,70,0,0,0,9,1,1.000,0,0,0,-
73,이우성,NC,좌익수,75,66,470 1/3,2,0,120,3,1,0.984,0,0,0,-
76,전상현,KIA,투수,74,0,70,2,0,2,8,0,0.833,0,0,0,-
76,손호영,롯데,3루수,74,71,614 2/3,16,0,55,117,14,0.915,0,0,0,-
76,박상원,한화,투수,74,0,66 2/3,1,0,7,9,1,0.941,0,0,0,-
76,전사민,NC,투수,74,0,82 1/3,1,0,3,16,1,0.950,0,0,0,-
80,김성윤,삼성,우익수,73,64,535,1,0,97,3,0,0.990,0,0,0,-
80,김태훈,삼성,투수,73,0,66 1/3,2,0,1,8,1,0.818,0,0,0,-
80,박치국,두산,투수,73,0,62 1/3,1,0,3,10,1,0.929,0,0,0,-
80,이영하,두산,투수,73,0,66 2/3,2,3,3,17,0,0.909,0,0,0,-
80,김범수,한화,투수,73,0,48,1,0,4,6,2,0.909,0,0,0,-
85,김선빈,KIA,2루수,72,68,503 2/3,9,0,96,126,33,0.961,0,0,0,-
85,조상우,KIA,투수,72,0,60,2,2,3,6,0,0.818,0,0,0,-
85,이지영,SSG,포수,72,55,482 2/3,3,1,454,32,5,0.994,1,45,10,18.2
88,나성범,KIA,우익수,71,69,541 2/3,0,0,99,9,2,1.000,0,0,0,-
88,한태양,롯데,2루수,71,56,500 1/3,6,0,127,143,30,0.978,0,0,0,-
88,한승혁,한화,투수,71,0,64,0,2,1,10,1,1.000,0,0,0,-
91,김민,SSG,투수,70,0,63 2/3,0,0,1,8,1,1.000,0,0,0,-
91,배재환,NC,투수,70,0,60 1/3,0,0,5,7,0,1.000,0,0,0,-
93,이주헌,LG,포수,69,42,332,4,0,295,16,2,0.987,5,28,3,9.7
93,양석환,두산,1루수,69,68,579 2/3,4,0,525,45,44,0.993,0,0,0,-
93,오명진,두산,2루수,69,55,488,7,0,127,161,38,0.976,0,0,0,-
93,조병현,SSG,투수,69,0,67 1/3,0,0,0,6,1,1.000,0,0,0,-
93,김서현,한화,투수,69,0,66,0,0,0,9,0,1.000,0,0,0,-
93,박건우,NC,우익수,69,64,458,1,0,83,5,1,0.989,0,0,0,-
99,구본혁,LG,3루수,68,33,328 2/3,2,0,21,72,9,0.979,0,0,0,-
99,조동욱,한화,투수,68,2,60,0,0,0,10,2,1.000,0,0,0,-
