날짜,항목,팀,선수,비고
2026-04-25,개명,LG,안이도(투수),개명전:안시후
2026-04-24,부상자 명단,삼성,구자욱(외야수),10일
2026-04-22,치료·재활명단,SSG,현원회(내야수),21일
2026-04-22,부상자 명단,삼성,이재현(내야수),10일
2026-04-22,부상자 명단,롯데,황성빈(외야수),10일
2026-04-22,부상자 명단,키움,박찬혁(외야수),30일
2026-04-22,부상자 명단,키움,이주형(외야수),10일
2026-04-22,소속선수 추가 등록,LG,김윤식(투수),군보류 해제
2026-04-21,부상자 명단,LG,배재준(투수),10일
2026-04-21,부상자 명단,삼성,육선엽(투수),10일
2026-04-21,부상자 명단,KIA,전상현(투수),10일
2026-04-21,재활선수(외국인 선수),키움,와일스(투수),
2026-04-19,부상자 명단,SSG,고명준(내야수),30일
2026-04-19,부상자 명단,SSG,조형우(포수),10일
2026-04-19,부상자 명단,삼성,김태훈(외야수),10일
2026-04-19,부상자 명단,삼성,최지광(투수),10일
2026-04-18,부상자 명단,KIA,홍건희(투수),30일
2026-04-17,부상자 명단,NC,김휘집(내야수),30일
2026-04-17,부상자 명단,KT,류현인(내야수),30일
2026-04-17,부상자 명단,키움,박한결(내야수),10일
2026-04-16,부상자 명단,SSG,박시후(투수),10일
2026-04-16,부상자 명단,삼성,이성규(외야수),10일
2026-04-16,부상자 명단,KT,안현민(외야수),30일
2026-04-16,부상자 명단,KT,허경민(내야수),10일
2026-04-16,부상자 명단,두산,박치국(투수),10일
2026-04-15,부상자 명단,삼성,김성윤(외야수),10일
2026-04-14,부상자 명단,LG,이우찬(투수),15일
2026-04-14,부상자 명단,삼성,구자욱(외야수),10일
2026-04-14,부상자 명단,KIA,윤도현(내야수),10일
2026-04-14,트레이드,한화,이교훈(투수),두산→한화
2026-04-14,트레이드,두산,손아섭(외야수),한화→두산
2026-04-13,군보류 자유계약선수,NC,조현진(내야수),
2026-04-12,부상자 명단,LG,손주영(투수),15일
2026-04-12,부상자 명단,키움,서건창(내야수),15일
2026-04-12,부상자 명단,키움,어준서(내야수),30일
2026-04-11,부상자 명단,LG,배재준(투수),10일
2026-04-11,부상자 명단,삼성,김영웅(내야수),10일
2026-04-11,부상자 명단,삼성,육선엽(투수),10일
2026-04-11,부상자 명단,KIA,전상현(투수),10일
2026-04-11,부상자 명단,키움,김태진(내야수),30일
2026-04-09,부상자 명단,삼성,김태훈(외야수),10일
2026-04-09,부상자 명단,KIA,김태군(포수),10일
2026-04-08,부상자 명단,LG,백승현(투수),30일
2026-04-08,등번호 변경,한화,이승현(내야수),60→4
2026-04-07,부상자 명단,삼성,김태훈(투수),10일
2026-04-07,재활선수(외국인 선수),두산,플렉센(투수),4.21 벤자민 대체 외국인선수 등록
2026-04-06,부상자 명단,두산,박치국(투수),10일
2026-04-05,부상자 명단,삼성,김성윤(외야수),10일
2026-04-05,부상자 명단,키움,박윤성(투수),30일
2026-04-05,부상자 명단,키움,정현우(투수),30일
2026-04-04,부상자 명단,KIA,박민(내야수),10일
2026-04-04,부상자 명단,KIA,윤도현(내야수),10일
2026-04-03,재활선수(외국인 선수),한화,화이트(투수),4.8 쿠싱 대체 외국인선수 등록
2026-04-02,부상자 명단,두산,최원준(투수),30일
2026-04-01,부상자 명단,한화,엄상백(투수),10일
2026-04-01,부상자 명단,삼성,육선엽(투수),10일
