순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,KT,0.289,22,906,778,139,225,45,4,18,332,131,9,8,113,4,11,187,21,0.418,0.368,0.786,25,0.295,0.278
2,한화,0.271,21,870,757,124,205,31,4,18,298,117,7,7,95,1,15,189,14,0.385,0.344,0.729,23,0.31,0.167
3,삼성,0.269,21,860,728,115,196,36,7,15,291,107,4,5,120,2,14,171,18,0.402,0.368,0.77,24,0.241,0.25
4,KIA,0.266,22,874,744,109,198,40,0,17,289,105,14,8,110,6,9,185,26,0.39,0.35,0.74,25,0.282,0.263
5,SSG,0.266,21,851,722,119,192,42,2,22,304,110,7,7,108,2,13,183,14,0.421,0.357,0.778,24,0.287,0.29
6,LG,0.265,21,825,688,96,182,30,1,12,250,93,12,9,116,4,15,161,14,0.367,0.37,0.737,24,0.281,0.278
7,NC,0.252,21,829,713,98,180,33,0,20,273,89,7,1,91,1,25,182,19,0.388,0.35,0.738,24,0.254,0.24
8,롯데,0.25,21,788,711,65,178,32,2,17,265,61,6,6,68,3,4,188,18,0.359,0.3,0.659,24,0.199,0.179
9,두산,0.25,22,868,752,100,188,36,5,18,288,92,10,10,88,2,19,188,19,0.379,0.33,0.709,25,0.235,0.32
10,키움,0.232,22,833,736,74,171,36,1,11,242,67,8,6,75,1,19,204,23,0.337,0.314,0.651,25,0.219,0.296
