분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.200,5,5,0,1,1,0,0,2,0,0,0,0,1,0
상대팀별,KT,3,0.333,9,9,0,3,1,0,0,4,0,0,0,0,1,0
상대팀별,LG,2,0.000,5,3,1,0,0,0,0,0,0,0,2,0,1,0
상대팀별,NC,3,0.429,10,7,2,3,0,0,0,0,0,1,3,0,1,0
상대팀별,SSG,3,0.500,12,8,0,4,1,0,0,1,0,1,3,1,3,0
상대팀별,두산,2,0.000,6,6,0,0,0,0,0,0,0,0,0,0,1,0
상대팀별,롯데,2,0.000,5,5,0,0,0,0,0,0,0,0,0,0,4,0
상대팀별,한화,3,0.167,13,12,1,2,0,0,0,1,0,0,1,0,5,1
구장별,광주,2,0.200,5,5,0,1,1,0,0,2,0,0,0,0,1,0
구장별,대구,12,0.241,38,29,3,7,1,0,0,1,0,2,8,1,10,0
구장별,대전,3,0.167,13,12,1,2,0,0,0,1,0,0,1,0,5,1
구장별,수원,3,0.333,9,9,0,3,1,0,0,4,0,0,0,0,1,0
월별,3~4월,20,0.236,65,55,4,13,3,0,0,8,0,2,9,1,17,1
요일별,화,4,0.231,15,13,0,3,2,0,0,3,0,0,2,0,4,0
요일별,수,4,0.182,13,11,1,2,0,0,0,1,0,0,1,1,4,0
요일별,목,2,0.286,8,7,0,2,0,0,0,0,0,1,1,0,2,1
요일별,금,2,0.000,8,6,0,0,0,0,0,0,0,1,2,0,0,0
요일별,토,4,0.333,13,12,1,4,1,0,0,4,0,0,1,0,5,0
요일별,일,4,0.333,8,6,2,2,0,0,0,0,0,0,2,0,2,0
홈/방문별,홈,12,0.241,38,29,3,7,1,0,0,1,0,2,8,1,10,0
홈/방문별,방문,8,0.231,27,26,1,6,2,0,0,7,0,0,1,0,7,1
주/야간별,주간,6,0.167,15,12,3,2,0,0,0,0,0,0,3,0,6,0
주/야간별,야간,14,0.256,50,43,1,11,3,0,0,8,0,2,6,1,11,1
기간별,전반기,20,0.236,65,55,4,13,3,0,0,8,0,2,9,1,17,1
