분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.273,22,6,0,0,0,0,5,1,8,0
주자상황별,1루,0.083,12,1,0,0,0,0,2,0,3,1
주자상황별,2루,0.125,8,1,1,0,0,1,1,0,1,0
주자상황별,3루,1.000,2,2,1,0,0,2,0,0,0,0
주자상황별,"1,2루",0.000,2,0,0,0,0,0,1,0,2,0
주자상황별,"1,3루",0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,"2,3루",0.500,4,2,1,0,0,4,0,0,0,0
주자상황별,만루,0.333,3,1,0,0,0,1,0,0,2,0
주자상황별,주자있음,0.212,33,7,3,0,0,8,4,0,9,1
주자상황별,득점권,0.286,21,6,3,0,0,8,2,0,6,0
볼카운트별,0-0,0.167,6,1,0,0,0,0,0,0,0,0
볼카운트별,1-0,0.500,2,1,0,0,0,1,0,0,0,0
볼카운트별,2-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,1.000,3,3,0,0,0,0,0,1,0,0
볼카운트별,1-1,0.000,2,0,0,0,0,0,0,0,0,1
볼카운트별,2-1,1.000,1,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.333,3,1,1,0,0,1,2,0,0,0
볼카운트별,0-2,0.000,5,0,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.077,13,1,1,0,0,2,0,0,4,0
볼카운트별,2-2,0.375,8,3,1,0,0,2,0,0,5,0
볼카운트별,3-2,0.200,10,2,0,0,0,2,6,0,5,0
이닝별,1회,0.500,2,1,0,0,0,1,0,0,0,0
이닝별,2회,0.250,12,3,2,0,0,2,1,1,3,0
이닝별,3회,0.000,3,0,0,0,0,0,1,0,1,0
이닝별,4회,0.375,8,3,0,0,0,1,2,0,3,0
이닝별,5회,0.000,8,0,0,0,0,0,0,0,3,1
이닝별,6회,0.429,7,3,0,0,0,0,2,0,3,0
이닝별,7회,0.143,7,1,0,0,0,0,0,0,2,0
이닝별,8회,0.500,4,2,1,0,0,4,2,0,1,0
이닝별,9회,0.000,4,0,0,0,0,0,0,0,1,0
이닝별,연장,-,0,0,0,0,0,0,1,0,0,0
이닝별,1~3회,0.235,17,4,2,0,0,3,2,1,4,0
이닝별,4~6회,0.261,23,6,0,0,0,1,4,0,9,1
이닝별,7회이후,0.200,15,3,1,0,0,4,3,0,4,0
타순별,6번타자,0.111,9,1,0,0,0,1,1,0,3,1
타순별,7번타자,0.238,21,5,1,0,0,2,4,1,9,0
타순별,8번타자,0.190,21,4,1,0,0,1,4,0,4,0
타순별,9번타자,0.750,4,3,1,0,0,4,0,0,1,0
투수유형별,좌투수,0.071,14,1,1,0,0,1,2,0,3,1
투수유형별,우투수,0.300,40,12,2,0,0,7,7,1,14,0
투수유형별,언더투수,0.000,1,0,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.063,16,1,0,0,0,0,2,0,5,1
아웃카운트별,1아웃,0.261,23,6,1,0,0,3,4,0,9,0
아웃카운트별,2아웃,0.375,16,6,2,0,0,5,3,1,3,0
