분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0.000
3월,03.29,롯데,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.000
3월,03.31,두산,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000
4월,04.01,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.000
4월,04.03,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.000
4월,04.04,KT,0.750,4,4,0,3,1,0,0,4,0,0,0,0,1,0,0.158
4월,04.05,KT,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.150
4월,04.07,KIA,0.250,4,4,0,1,1,0,0,2,0,0,0,0,1,0,0.167
4월,04.08,KIA,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.160
4월,04.10,NC,0.000,4,2,0,0,0,0,0,0,0,1,2,0,0,0,0.148
4월,04.11,NC,0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.172
4월,04.12,NC,0.667,4,3,2,2,0,0,0,0,0,0,1,0,1,0,0.219
4월,04.14,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.222
4월,04.15,한화,0.333,4,3,1,1,0,0,0,1,0,0,1,0,1,0,0.231
4월,04.16,한화,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,1,0.205
4월,04.18,LG,0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.191
4월,04.19,LG,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.191
4월,04.21,SSG,0.333,5,3,0,1,1,0,0,1,0,0,2,0,1,0,0.200
4월,04.22,SSG,0.333,4,3,0,1,0,0,0,0,0,0,0,1,2,0,0.208
4월,04.23,SSG,1.000,3,2,0,2,0,0,0,0,0,1,1,0,0,0,0.236
