연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2004,롯데,0.000,3,6,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,1
2005,롯데,0.243,104,230,214,20,52,11,2,2,73,18,1,4,5,2,56,7,0.341,0.267,9
2006,롯데,0.251,126,460,410,40,103,20,0,9,150,53,4,1,23,11,78,5,0.366,0.307,12
2007,롯데,0.271,125,474,413,48,112,20,0,14,174,68,1,4,37,4,88,10,0.421,0.335,11
2008,롯데,0.292,122,501,435,51,127,25,1,19,211,82,2,4,49,7,77,13,0.485,0.365,6
2009,롯데,0.260,83,301,262,36,68,13,0,9,108,30,0,0,33,3,44,9,0.412,0.346,6
2010,롯데,0.305,117,465,410,66,125,19,1,23,215,72,2,7,42,8,65,16,0.524,0.376,11
2011,롯데,0.289,124,506,450,63,130,25,2,19,216,66,4,6,47,8,81,18,0.480,0.366,15
2012,롯데,0.273,119,454,400,41,109,21,0,19,187,66,0,1,44,8,97,9,0.468,0.355,3
2013,롯데,0.235,105,405,327,48,77,13,0,11,123,57,4,1,60,11,87,5,0.376,0.366,8
2014,롯데,0.229,98,360,310,37,71,14,2,16,137,40,1,2,33,13,92,6,0.442,0.325,3
2015,롯데,0.311,123,456,380,63,118,18,1,35,243,86,0,0,60,14,112,14,0.639,0.421,8
2016,롯데,0.323,116,460,381,65,123,26,0,20,209,72,4,0,66,10,91,7,0.549,0.433,4
2017,롯데,0.285,130,515,456,62,130,22,1,22,220,68,0,2,41,15,104,15,0.482,0.361,11
2018,삼성,0.269,129,477,427,46,115,14,0,22,195,71,0,0,29,14,96,11,0.457,0.331,8
2019,삼성,0.234,112,393,346,36,81,20,0,13,140,45,0,0,33,9,76,9,0.405,0.315,8
2020,삼성,0.287,119,393,355,46,102,14,0,19,173,61,0,0,31,4,54,17,0.487,0.349,8
2021,삼성,0.291,123,462,406,55,118,22,0,18,194,67,0,0,45,4,53,18,0.478,0.361,7
2022,삼성,0.258,130,444,396,38,102,19,1,13,162,66,0,0,41,3,58,21,0.409,0.330,4
2023,삼성,0.290,125,495,434,60,126,19,0,16,193,77,6,1,49,6,65,17,0.445,0.366,3
2024,삼성,0.303,136,452,403,48,122,19,1,19,200,77,3,0,35,8,52,17,0.496,0.365,2
2025,삼성,0.269,127,465,412,37,111,23,1,12,172,71,2,2,38,7,69,16,0.417,0.336,2
2026,삼성,0.236,20,65,55,4,13,3,0,0,16,8,0,2,9,1,17,1,0.291,0.354,0
