분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.400,12,10,3,4,2,0,1,2,0,0,2,0,1,0
상대팀별,KT,3,0.250,16,16,3,4,0,0,1,3,0,0,0,0,7,0
상대팀별,LG,3,0.167,12,12,1,2,0,0,0,2,0,0,0,0,3,0
상대팀별,SSG,2,0.333,9,9,1,3,0,0,1,4,0,0,0,0,0,0
상대팀별,두산,3,0.300,14,10,4,3,0,0,0,2,0,0,4,0,2,0
상대팀별,롯데,2,0.500,10,10,0,5,2,0,0,3,0,0,0,0,0,0
상대팀별,삼성,3,0.182,13,11,0,2,0,0,0,2,0,0,1,0,1,0
상대팀별,키움,2,0.273,11,11,1,3,1,0,1,6,0,0,0,0,3,0
구장별,대전,11,0.271,52,48,7,13,3,0,3,13,0,0,3,0,12,0
구장별,문학,2,0.333,9,9,1,3,0,0,1,4,0,0,0,0,0,0
구장별,사직,2,0.500,10,10,0,5,2,0,0,3,0,0,0,0,0,0
구장별,잠실,6,0.227,26,22,5,5,0,0,0,4,0,0,4,0,5,0
월별,3~4월,21,0.292,97,89,13,26,5,0,4,24,0,0,7,0,17,0
요일별,화,4,0.316,19,19,0,6,0,0,0,3,0,0,0,0,4,0
요일별,수,4,0.118,18,17,3,2,0,0,1,5,0,0,1,0,2,0
요일별,목,3,0.250,13,12,2,3,0,0,1,3,0,0,0,0,5,0
요일별,금,2,0.500,9,6,4,3,1,0,1,2,0,0,3,0,1,0
요일별,토,4,0.316,20,19,2,6,1,0,0,4,0,0,1,0,3,0
요일별,일,4,0.375,18,16,2,6,3,0,1,7,0,0,2,0,2,0
홈/방문별,홈,11,0.271,52,48,7,13,3,0,3,13,0,0,3,0,12,0
홈/방문별,방문,10,0.317,45,41,6,13,2,0,1,11,0,0,4,0,5,0
주/야간별,주간,7,0.333,33,30,4,10,3,0,1,10,0,0,3,0,5,0
주/야간별,야간,14,0.271,64,59,9,16,2,0,3,14,0,0,4,0,12,0
기간별,전반기,21,0.292,97,89,13,26,5,0,4,24,0,0,7,0,17,0
