분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.227,44,10,2,0,1,1,5,0,13,0
주자상황별,1루,0.294,17,5,1,0,2,5,0,0,3,0
주자상황별,2루,0.286,7,2,0,0,0,2,1,0,0,0
주자상황별,3루,0.200,5,1,0,0,0,3,0,0,1,0
주자상황별,"1,2루",0.571,7,4,0,0,0,4,1,0,0,0
주자상황별,"1,3루",0.667,3,2,1,0,0,2,0,0,0,0
주자상황별,"2,3루",1.000,1,1,0,0,1,3,0,0,0,0
주자상황별,만루,0.200,5,1,1,0,0,4,0,0,0,0
주자상황별,주자있음,0.356,45,16,3,0,3,23,2,0,4,0
주자상황별,득점권,0.393,28,11,2,0,1,18,2,0,1,0
볼카운트별,0-0,0.455,11,5,0,0,3,6,0,0,0,0
볼카운트별,1-0,0.250,4,1,1,0,0,2,0,0,0,0
볼카운트별,2-0,0.500,2,1,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.389,18,7,0,0,0,4,0,0,0,0
볼카운트별,2-1,0.000,2,0,0,0,0,1,0,0,0,0
볼카운트별,3-1,0.500,4,2,2,0,0,2,3,0,0,0
볼카운트별,0-2,0.111,9,1,0,0,0,0,0,0,4,0
볼카운트별,1-2,0.294,17,5,0,0,1,6,0,0,5,0
볼카운트별,2-2,0.077,13,1,0,0,0,0,0,0,6,0
볼카운트별,3-2,0.500,6,3,2,0,0,2,2,0,2,0
이닝별,1회,0.200,10,2,0,0,0,1,0,0,1,0
이닝별,2회,0.200,10,2,0,0,0,0,2,0,2,0
이닝별,3회,0.625,8,5,1,0,2,7,2,0,1,0
이닝별,4회,0.273,11,3,1,0,0,2,1,0,3,0
이닝별,5회,0.100,10,1,1,0,0,2,1,0,1,0
이닝별,6회,0.250,8,2,0,0,0,4,0,0,3,0
이닝별,7회,0.300,10,3,1,0,1,2,1,0,1,0
이닝별,8회,0.250,12,3,1,0,0,1,0,0,3,0
이닝별,9회,0.444,9,4,0,0,1,4,0,0,2,0
이닝별,연장,1.000,1,1,0,0,0,1,0,0,0,0
이닝별,1~3회,0.321,28,9,1,0,2,8,4,0,4,0
이닝별,4~6회,0.207,29,6,2,0,0,8,2,0,7,0
이닝별,7회이후,0.344,32,11,2,0,2,8,1,0,6,0
타순별,4번타자,0.265,34,9,3,0,0,6,3,0,3,0
타순별,5번타자,0.309,55,17,2,0,4,18,4,0,14,0
투수유형별,좌투수,0.174,23,4,0,0,0,2,1,0,6,0
투수유형별,우투수,0.355,62,22,5,0,4,21,6,0,10,0
투수유형별,언더투수,0.000,4,0,0,0,0,1,0,0,1,0
아웃카운트별,0아웃,0.250,28,7,1,0,2,5,3,0,8,0
아웃카운트별,1아웃,0.353,34,12,4,0,1,10,1,0,6,0
아웃카운트별,2아웃,0.259,27,7,0,0,1,9,3,0,3,0
