분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,키움,0.167,6,6,0,1,0,0,0,1,0,0,0,0,2,0,0.167
3월,03.29,키움,0.400,5,5,1,2,1,0,1,5,0,0,0,0,1,0,0.273
3월,03.31,KT,0.400,5,5,0,2,0,0,0,0,0,0,0,0,2,0,0.313
4월,04.01,KT,0.167,6,6,2,1,0,0,0,2,0,0,0,0,2,0,0.273
4월,04.02,KT,0.200,5,5,1,1,0,0,1,1,0,0,0,0,3,0,0.259
4월,04.03,두산,0.500,5,2,2,1,0,0,0,0,0,0,3,0,1,0,0.276
4월,04.04,두산,0.500,5,4,2,2,0,0,0,2,0,0,1,0,0,0,0.303
4월,04.05,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.270
4월,04.07,SSG,0.400,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0.286
4월,04.08,SSG,0.250,4,4,1,1,0,0,1,3,0,0,0,0,0,0,0.283
4월,04.10,KIA,0.500,4,4,2,2,1,0,1,2,0,0,0,0,0,0,0.300
4월,04.11,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.296
4월,04.12,KIA,0.500,4,2,1,1,1,0,0,0,0,0,2,0,0,0,0.304
4월,04.14,삼성,0.400,5,5,0,2,0,0,0,1,0,0,0,0,1,0,0.311
4월,04.15,삼성,0.000,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0.292
4월,04.16,삼성,0.000,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0.284
4월,04.18,롯데,0.400,5,5,0,2,1,0,0,1,0,0,0,0,0,0,0.292
4월,04.19,롯데,0.600,5,5,0,3,1,0,0,2,0,0,0,0,0,0,0.312
4월,04.21,LG,0.000,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0.296
4월,04.22,LG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.286
4월,04.23,LG,0.400,5,5,1,2,0,0,0,1,0,0,0,0,2,0,0.292
