분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.500,8,8,4,4,0,0,2,2,0,0,0,0,1,0
상대팀별,LG,3,0.364,12,11,1,4,2,0,0,0,1,0,1,0,0,0
상대팀별,NC,1,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0
상대팀별,두산,3,0.182,11,11,2,2,0,0,1,3,0,0,0,0,5,0
상대팀별,롯데,3,0.385,16,13,1,5,1,0,1,4,0,0,3,0,1,0
상대팀별,키움,3,0.545,12,11,1,6,0,0,0,2,0,0,1,0,2,0
상대팀별,한화,2,0.250,8,8,0,2,2,0,0,1,0,0,0,0,4,0
구장별,문학,10,0.368,39,38,7,14,2,0,3,8,0,0,1,0,12,0
구장별,사직,3,0.385,16,13,1,5,1,0,1,4,0,0,3,0,1,0
구장별,잠실,3,0.364,12,11,1,4,2,0,0,0,1,0,1,0,0,0
구장별,창원,1,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0
월별,3~4월,17,0.365,68,63,9,23,5,0,4,12,1,0,5,0,14,0
요일별,화,3,0.364,11,11,0,4,1,0,0,0,0,0,0,0,4,0
요일별,수,3,0.273,12,11,1,3,1,0,1,4,0,0,1,0,5,0
요일별,목,2,0.375,8,8,2,3,0,0,0,2,0,0,0,0,2,0
요일별,금,2,0.286,10,7,1,2,0,0,1,2,0,0,3,0,0,0
요일별,토,4,0.385,14,13,1,5,2,0,0,1,1,0,1,0,3,0
요일별,일,3,0.462,13,13,4,6,1,0,2,3,0,0,0,0,0,0
홈/방문별,홈,10,0.368,39,38,7,14,2,0,3,8,0,0,1,0,12,0
홈/방문별,방문,7,0.360,29,25,2,9,3,0,1,4,1,0,4,0,2,0
주/야간별,주간,4,0.412,17,17,5,7,1,0,2,3,0,0,0,0,1,0
주/야간별,야간,13,0.348,51,46,4,16,4,0,2,9,1,0,5,0,13,0
기간별,전반기,17,0.365,68,63,9,23,5,0,4,12,1,0,5,0,14,0
