분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.405,37,15,2,0,3,3,2,0,8,0
주자상황별,1루,0.333,9,3,2,0,0,1,2,0,2,0
주자상황별,2루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,3루,0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.286,7,2,1,0,0,2,0,0,2,0
주자상황별,"1,3루",0.200,5,1,0,0,0,1,1,0,1,0
주자상황별,"2,3루",1.000,2,2,0,0,1,5,0,0,0,0
주자상황별,주자있음,0.308,26,8,3,0,1,9,3,0,6,0
주자상황별,득점권,0.294,17,5,1,0,1,8,1,0,4,0
볼카운트별,0-0,0.375,8,3,2,0,0,0,0,0,0,0
볼카운트별,1-0,0.625,8,5,1,0,1,4,0,0,0,0
볼카운트별,2-0,1.000,1,1,0,0,1,1,0,0,0,0
볼카운트별,0-1,0.385,13,5,0,0,1,1,0,0,0,0
볼카운트별,1-1,0.500,6,3,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-2,0.000,5,0,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.333,12,4,1,0,1,5,0,0,6,0
볼카운트별,2-2,0.400,5,2,1,0,0,1,0,0,2,0
볼카운트별,3-2,0.000,4,0,0,0,0,0,2,0,3,0
이닝별,1회,0.111,9,1,0,0,1,3,0,0,3,0
이닝별,2회,0.429,7,3,0,0,0,0,1,0,1,0
이닝별,3회,0.571,7,4,0,0,1,4,0,0,2,0
이닝별,4회,0.455,11,5,2,0,1,2,1,0,2,0
이닝별,5회,0.000,4,0,0,0,0,0,1,0,1,0
이닝별,6회,0.429,7,3,0,0,1,1,2,0,1,0
이닝별,7회,0.444,9,4,1,0,0,0,0,0,1,0
이닝별,8회,0.200,5,1,1,0,0,1,0,0,2,0
이닝별,9회,0.500,4,2,1,0,0,1,0,0,1,0
이닝별,1~3회,0.348,23,8,0,0,2,7,1,0,6,0
이닝별,4~6회,0.364,22,8,2,0,2,3,4,0,4,0
이닝별,7회이후,0.389,18,7,3,0,0,2,0,0,4,0
타순별,5번타자,0.356,59,21,4,0,4,12,5,0,14,0
타순별,6번타자,0.500,4,2,1,0,0,0,0,0,0,0
투수유형별,좌투수,0.600,10,6,1,0,0,2,1,0,3,0
투수유형별,우투수,0.308,52,16,3,0,4,10,4,0,11,0
투수유형별,언더투수,1.000,1,1,1,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.455,22,10,1,0,2,3,2,0,2,0
아웃카운트별,1아웃,0.429,21,9,3,0,1,3,0,0,7,0
아웃카운트별,2아웃,0.200,20,4,1,0,1,6,3,0,5,0
