분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KIA,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.250
3월,03.29,KIA,0.750,4,4,3,3,0,0,2,2,0,0,0,0,0,0,0.500
3월,03.31,키움,0.750,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0.583
4월,04.01,키움,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.533
4월,04.02,키움,0.500,4,4,1,2,0,0,0,2,0,0,0,0,1,0,0.526
4월,04.03,롯데,0.500,6,4,1,2,0,0,1,2,0,0,2,0,0,0,0.522
4월,04.04,롯데,0.500,5,4,0,2,1,0,0,1,0,0,1,0,1,0,0.519
4월,04.05,롯데,0.200,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0.469
4월,04.07,한화,0.250,4,4,0,1,1,0,0,0,0,0,0,0,3,0,0.444
4월,04.08,한화,0.250,4,4,0,1,1,0,0,1,0,0,0,0,1,0,0.425
4월,04.10,LG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.395
4월,04.11,LG,0.500,4,4,0,2,1,0,0,0,1,0,0,0,0,0,0.404
4월,04.12,LG,0.500,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0.412
4월,04.14,두산,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.389
4월,04.15,두산,0.250,4,4,1,1,0,0,1,3,0,0,0,0,3,0,0.379
4월,04.16,두산,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.371
4월,04.18,NC,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.365
