분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.500,10,8,0,4,1,0,0,3,0,0,2,0,2,0
상대팀별,KT,3,0.111,9,9,0,1,0,0,0,0,0,0,0,0,4,0
상대팀별,LG,3,0.364,12,11,4,4,2,0,1,3,0,0,0,0,4,0
상대팀별,NC,2,0.200,6,5,0,1,0,0,0,1,0,0,0,0,3,0
상대팀별,SSG,3,0.222,13,9,0,2,1,0,0,1,0,0,4,0,3,0
상대팀별,두산,2,0.000,7,6,0,0,0,0,0,0,0,0,1,0,2,1
상대팀별,롯데,3,0.100,10,10,0,1,0,0,0,0,0,0,0,0,4,1
상대팀별,한화,2,0.500,8,6,2,3,0,0,0,1,0,0,1,0,2,0
구장별,고척,8,0.231,28,26,4,6,2,0,1,4,0,0,0,0,11,1
구장별,광주,3,0.500,10,8,0,4,1,0,0,3,0,0,2,0,2,0
구장별,대전,2,0.500,8,6,2,3,0,0,0,1,0,0,1,0,2,0
구장별,문학,3,0.222,13,9,0,2,1,0,0,1,0,0,4,0,3,0
구장별,수원,3,0.111,9,9,0,1,0,0,0,0,0,0,0,0,4,0
구장별,잠실,2,0.000,7,6,0,0,0,0,0,0,0,0,1,0,2,1
월별,3~4월,21,0.250,75,64,6,16,4,0,1,9,0,0,8,0,24,2
요일별,화,4,0.182,15,11,0,2,1,0,0,2,0,0,4,0,4,1
요일별,수,4,0.273,14,11,0,3,1,0,0,2,0,0,2,0,3,0
요일별,목,2,0.333,7,6,0,2,0,0,0,1,0,0,1,0,3,0
요일별,금,3,0.182,11,11,1,2,1,0,0,0,0,0,0,0,3,1
요일별,토,4,0.231,15,13,2,3,1,0,0,2,0,0,1,0,6,0
요일별,일,4,0.333,13,12,3,4,0,0,1,2,0,0,0,0,5,0
홈/방문별,홈,8,0.231,28,26,4,6,2,0,1,4,0,0,0,0,11,1
홈/방문별,방문,13,0.263,47,38,2,10,2,0,0,5,0,0,8,0,13,1
주/야간별,주간,4,0.429,16,14,4,6,0,0,1,2,0,0,1,0,6,0
주/야간별,야간,17,0.200,59,50,2,10,4,0,0,7,0,0,7,0,18,2
기간별,전반기,21,0.250,75,64,6,16,4,0,1,9,0,0,8,0,24,2
