분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,한화,0.667,4,3,1,2,0,0,0,0,0,0,1,0,1,0,0.667
3월,03.29,한화,0.333,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0.500
3월,03.31,SSG,0.000,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0.375
4월,04.01,SSG,0.400,6,5,0,2,1,0,0,1,0,0,1,0,1,0,0.385
4월,04.02,SSG,0.000,3,2,0,0,0,0,0,0,0,0,1,0,2,0,0.333
4월,04.03,LG,0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.316
4월,04.04,LG,0.333,4,3,1,1,1,0,0,2,0,0,0,0,1,0,0.318
4월,04.05,LG,0.500,4,4,2,2,0,0,1,1,0,0,0,0,2,0,0.346
4월,04.07,두산,0.000,5,4,0,0,0,0,0,0,0,0,1,0,2,1,0.300
4월,04.08,두산,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.281
4월,04.10,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0.257
4월,04.11,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.237
4월,04.12,롯데,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.238
4월,04.14,KIA,0.500,3,2,0,1,1,0,0,2,0,0,1,0,1,0,0.250
4월,04.15,KIA,0.500,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0.261
4월,04.16,KIA,0.500,4,4,0,2,0,0,0,1,0,0,0,0,1,0,0.280
4월,04.17,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.278
4월,04.18,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0.259
4월,04.19,KT,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.254
4월,04.21,NC,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.258
4월,04.22,NC,0.000,3,2,0,0,0,0,0,1,0,0,0,0,2,0,0.250
