분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,3,0.231,13,13,2,3,0,0,0,2,0,0,0,0,4,0
상대팀별,LG,3,0.400,12,10,1,4,1,0,1,3,0,0,2,0,0,0
상대팀별,NC,3,0.100,12,10,1,1,0,0,0,0,0,0,2,0,4,0
상대팀별,SSG,2,0.250,10,8,3,2,0,0,0,0,0,0,2,0,1,0
상대팀별,두산,3,0.182,15,11,3,2,1,0,1,3,0,0,4,0,2,2
상대팀별,삼성,2,0.222,11,9,3,2,1,0,1,2,1,0,2,0,2,1
상대팀별,키움,3,0.400,12,10,2,4,0,0,2,6,0,0,1,1,2,0
상대팀별,한화,3,0.167,13,12,2,2,1,0,1,3,0,0,0,0,1,1
구장별,광주,8,0.241,35,29,6,7,1,0,3,8,1,0,5,1,8,1
구장별,대전,3,0.167,13,12,2,2,1,0,1,3,0,0,0,0,1,1
구장별,문학,2,0.250,10,8,3,2,0,0,0,0,0,0,2,0,1,0
구장별,수원,3,0.231,13,13,2,3,0,0,0,2,0,0,0,0,4,0
구장별,잠실,6,0.286,27,21,4,6,2,0,2,6,0,0,6,0,2,2
월별,3~4월,22,0.241,98,83,17,20,4,0,6,19,1,0,13,1,16,4
요일별,화,4,0.375,19,16,5,6,2,0,2,8,1,0,2,1,2,0
요일별,수,4,0.333,17,15,3,5,0,0,2,4,0,0,2,0,2,1
요일별,목,3,0.182,12,11,0,2,0,0,0,1,0,0,1,0,4,0
요일별,금,3,0.182,13,11,4,2,1,0,1,2,0,0,2,0,4,0
요일별,토,4,0.200,18,15,3,3,0,0,1,3,0,0,2,0,2,1
요일별,일,4,0.133,19,15,2,2,1,0,0,1,0,0,4,0,2,2
홈/방문별,홈,8,0.241,35,29,6,7,1,0,3,8,1,0,5,1,8,1
홈/방문별,방문,14,0.241,63,54,11,13,3,0,3,11,0,0,8,0,8,3
주/야간별,주간,6,0.174,28,23,4,4,1,0,0,2,0,0,4,0,2,3
주/야간별,야간,16,0.267,70,60,13,16,3,0,6,17,1,0,9,1,14,1
기간별,전반기,22,0.241,98,83,17,20,4,0,6,19,1,0,13,1,16,4
