분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.194,36,7,1,0,2,2,7,0,9,0
주자상황별,1루,0.217,23,5,2,0,1,3,3,1,3,3
주자상황별,2루,0.333,12,4,0,0,2,6,0,0,2,0
주자상황별,3루,0.333,3,1,1,0,0,1,2,0,0,0
주자상황별,"1,2루",0.000,2,0,0,0,0,0,0,0,0,1
주자상황별,"1,3루",1.000,1,1,0,0,0,2,1,0,0,0
주자상황별,"2,3루",0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,만루,0.500,4,2,0,0,1,5,0,0,1,0
주자상황별,주자있음,0.277,47,13,3,0,4,17,6,1,7,4
주자상황별,득점권,0.333,24,8,1,0,3,14,3,0,4,1
볼카운트별,0-0,0.231,13,3,1,0,0,1,1,0,0,2
볼카운트별,1-0,0.545,11,6,0,0,4,11,0,0,0,1
볼카운트별,2-0,0.250,4,1,0,0,0,0,1,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-1,0.143,7,1,1,0,0,1,0,1,0,0
볼카운트별,1-1,0.222,9,2,0,0,0,1,0,0,0,0
볼카운트별,2-1,0.500,4,2,0,0,1,1,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,4,0,0,0
볼카운트별,0-2,0.000,4,0,0,0,0,0,0,0,2,0
볼카운트별,1-2,0.231,13,3,1,0,1,4,0,0,5,1
볼카운트별,2-2,0.222,9,2,1,0,0,0,0,0,4,0
볼카운트별,3-2,0.000,8,0,0,0,0,0,4,0,5,0
이닝별,1회,0.353,17,6,2,0,0,4,4,0,1,0
이닝별,2회,0.750,4,3,0,0,1,2,0,0,0,0
이닝별,3회,0.182,11,2,0,0,1,2,0,0,4,1
이닝별,4회,0.091,11,1,0,0,0,0,1,0,4,0
이닝별,5회,0.182,11,2,0,0,1,4,1,0,2,2
이닝별,6회,0.286,7,2,1,0,0,1,1,0,1,1
이닝별,7회,0.143,7,1,0,0,1,1,3,1,2,0
이닝별,8회,0.222,9,2,0,0,2,4,2,0,2,0
이닝별,9회,0.200,5,1,1,0,0,1,0,0,0,0
이닝별,연장,0.000,1,0,0,0,0,0,1,0,0,0
이닝별,1~3회,0.344,32,11,2,0,2,8,4,0,5,1
이닝별,4~6회,0.172,29,5,1,0,1,5,3,0,7,3
이닝별,7회이후,0.182,22,4,1,0,3,6,6,1,4,0
타순별,3번타자,0.225,40,9,2,0,2,5,9,0,6,2
타순별,4번타자,0.256,43,11,2,0,4,14,4,1,10,2
투수유형별,좌투수,0.167,24,4,0,0,1,3,8,0,6,1
투수유형별,우투수,0.286,56,16,4,0,5,16,5,1,9,3
투수유형별,언더투수,0.000,3,0,0,0,0,0,0,0,1,0
아웃카운트별,0아웃,0.261,23,6,1,0,1,2,3,1,5,0
아웃카운트별,1아웃,0.189,37,7,1,0,4,11,3,0,7,4
아웃카운트별,2아웃,0.304,23,7,2,0,1,6,7,0,4,0
