분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,SSG,0.400,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0.400
3월,03.29,SSG,0.000,5,3,1,0,0,0,0,0,0,0,2,0,1,0,0.250
3월,03.31,LG,0.750,5,4,1,3,1,0,1,3,0,0,1,0,0,0,0.417
4월,04.01,LG,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.357
4월,04.02,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.333
4월,04.03,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.273
4월,04.04,NC,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.240
4월,04.05,NC,0.333,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0.250
4월,04.07,삼성,0.250,5,4,1,1,1,0,0,0,1,0,1,0,1,0,0.250
4월,04.08,삼성,0.200,6,5,2,1,0,0,1,2,0,0,1,0,1,1,0.243
4월,04.10,한화,0.250,4,4,2,1,0,0,1,1,0,0,0,0,0,0,0.244
4월,04.11,한화,0.000,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0.227
4월,04.12,한화,0.200,5,5,0,1,1,0,0,1,0,0,0,0,1,0,0.224
4월,04.14,키움,0.333,4,3,1,1,0,0,1,4,0,0,0,1,0,0,0.231
4월,04.15,키움,0.750,4,4,1,3,0,0,1,2,0,0,0,0,0,0,0.268
4월,04.16,키움,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.254
4월,04.17,두산,0.333,5,3,2,1,1,0,0,1,0,0,2,0,2,0,0.258
4월,04.18,두산,0.250,5,4,1,1,0,0,1,2,0,0,1,0,0,0,0.258
4월,04.19,두산,0.000,5,4,0,0,0,0,0,0,0,0,1,0,0,2,0.243
4월,04.21,KT,0.200,5,5,2,1,0,0,0,1,0,0,0,0,1,0,0.240
4월,04.22,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.241
4월,04.23,KT,0.250,4,4,0,1,0,0,0,1,0,0,0,0,2,0,0.241
