분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.286,10,7,2,2,1,0,0,3,0,0,1,0,2,0
상대팀별,LG,1,0.750,4,4,1,3,0,0,0,0,0,0,0,0,0,0
상대팀별,NC,2,0.000,5,5,0,0,0,0,0,0,0,0,0,0,0,1
상대팀별,두산,3,0.444,12,9,2,4,1,0,0,0,0,0,3,0,1,1
상대팀별,롯데,2,0.125,8,8,0,1,0,0,0,0,0,0,0,0,0,0
상대팀별,삼성,3,0.200,11,10,1,2,0,0,0,0,0,0,1,0,2,1
상대팀별,키움,3,0.375,12,8,0,3,0,0,0,1,0,1,3,0,0,0
상대팀별,한화,3,0.154,17,13,0,2,1,0,0,2,0,0,3,1,2,0
구장별,대전,3,0.154,17,13,0,2,1,0,0,2,0,0,3,1,2,0
구장별,사직,2,0.125,8,8,0,1,0,0,0,0,0,0,0,0,0,0
구장별,수원,12,0.324,45,34,5,11,2,0,0,4,0,1,8,0,5,2
구장별,잠실,1,0.750,4,4,1,3,0,0,0,0,0,0,0,0,0,0
구장별,창원,2,0.000,5,5,0,0,0,0,0,0,0,0,0,0,0,1
월별,3~4월,20,0.266,79,64,6,17,3,0,0,6,0,1,11,1,7,3
요일별,화,4,0.214,19,14,1,3,1,0,0,1,0,0,3,1,2,0
요일별,수,4,0.000,11,11,0,0,0,0,0,0,0,0,0,0,2,1
요일별,목,2,0.250,10,8,1,2,1,0,0,4,0,0,1,0,0,0
요일별,금,3,0.500,12,10,1,5,0,0,0,1,0,1,2,0,1,1
요일별,토,3,0.375,12,8,1,3,0,0,0,0,0,0,3,0,1,0
요일별,일,4,0.308,15,13,2,4,1,0,0,0,0,0,2,0,1,1
홈/방문별,홈,12,0.324,45,34,5,11,2,0,0,4,0,1,8,0,5,2
홈/방문별,방문,8,0.200,34,30,1,6,1,0,0,2,0,0,3,1,2,1
주/야간별,주간,3,0.364,11,11,2,4,1,0,0,0,0,0,0,0,1,1
주/야간별,야간,17,0.245,68,53,4,13,2,0,0,6,0,1,11,1,6,2
기간별,전반기,20,0.266,79,64,6,17,3,0,0,6,0,1,11,1,7,3
