분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.172,29,5,0,0,0,0,4,0,4,0
주자상황별,1루,0.467,15,7,1,0,0,0,2,0,2,1
주자상황별,2루,0.333,6,2,1,0,0,1,3,0,0,0
주자상황별,3루,0.500,2,1,0,0,0,1,0,0,0,0
주자상황별,"1,2루",0.167,6,1,1,0,0,2,2,0,0,2
주자상황별,"1,3루",0.333,3,1,0,0,0,1,0,1,0,0
주자상황별,"2,3루",0.000,2,0,0,0,0,1,0,0,1,0
주자상황별,만루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,주자있음,0.343,35,12,3,0,0,6,7,1,3,3
주자상황별,득점권,0.250,20,5,2,0,0,6,5,1,1,2
볼카운트별,0-0,0.000,2,0,0,0,0,0,0,1,0,0
볼카운트별,1-0,0.333,3,1,1,0,0,2,0,0,0,0
볼카운트별,2-0,0.500,2,1,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-1,0.300,10,3,1,0,0,1,0,0,0,1
볼카운트별,1-1,0.000,4,0,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,1,0,0,0
볼카운트별,0-2,0.333,3,1,0,0,0,0,0,0,1,0
볼카운트별,1-2,0.250,12,3,0,0,0,1,0,0,2,2
볼카운트별,2-2,0.333,15,5,1,0,0,1,0,0,2,0
볼카운트별,3-2,0.333,9,3,0,0,0,1,7,0,2,0
이닝별,1회,0.500,6,3,1,0,0,3,0,0,0,0
이닝별,2회,0.000,10,0,0,0,0,0,1,0,1,0
이닝별,3회,0.400,5,2,0,0,0,0,0,1,0,0
이닝별,4회,0.111,9,1,0,0,0,0,3,0,1,0
이닝별,5회,0.600,5,3,2,0,0,1,0,0,1,0
이닝별,6회,0.333,12,4,0,0,0,1,0,0,1,1
이닝별,7회,0.125,8,1,0,0,0,0,1,0,0,1
이닝별,8회,0.500,4,2,0,0,0,1,3,0,1,1
이닝별,9회,0.000,3,0,0,0,0,0,2,0,1,0
이닝별,연장,0.500,2,1,0,0,0,0,1,0,1,0
이닝별,1~3회,0.238,21,5,1,0,0,3,1,1,1,0
이닝별,4~6회,0.308,26,8,2,0,0,2,3,0,3,1
이닝별,7회이후,0.235,17,4,0,0,0,1,7,0,3,2
타순별,2번타자,0.375,8,3,0,0,0,1,3,0,0,0
타순별,5번타자,0.000,5,0,0,0,0,0,0,0,0,1
타순별,6번타자,0.250,28,7,1,0,0,1,3,1,4,1
타순별,7번타자,0.250,16,4,2,0,0,3,2,0,3,1
타순별,8번타자,0.200,5,1,0,0,0,1,1,0,0,0
타순별,9번타자,1.000,2,2,0,0,0,0,2,0,0,0
투수유형별,좌투수,0.222,18,4,2,0,0,2,2,0,1,0
투수유형별,우투수,0.273,44,12,0,0,0,3,9,0,6,2
투수유형별,언더투수,0.500,2,1,1,0,0,1,0,1,0,1
아웃카운트별,0아웃,0.235,17,4,1,0,0,1,4,0,3,0
아웃카운트별,1아웃,0.269,26,7,1,0,0,3,4,0,2,3
아웃카운트별,2아웃,0.286,21,6,1,0,0,2,3,1,2,0
