분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.29,LG,0.750,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0.750
3월,03.31,한화,0.333,6,3,0,1,1,0,0,1,0,0,2,1,0,0,0.571
4월,04.01,한화,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.333
4월,04.02,한화,0.200,6,5,0,1,0,0,0,1,0,0,1,0,0,0,0.294
4월,04.03,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,1,0.286
4월,04.04,삼성,0.333,4,3,1,1,0,0,0,0,0,0,1,0,1,0,0.292
4월,04.05,삼성,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.259
4월,04.07,롯데,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.250
4월,04.08,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.229
4월,04.10,두산,1.000,4,2,1,2,0,0,0,0,0,0,2,0,0,0,0.270
4월,04.11,두산,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.275
4월,04.12,두산,0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,1,0.273
4월,04.14,NC,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.255
4월,04.15,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.245
4월,04.17,키움,0.500,4,4,0,2,0,0,0,1,0,1,0,0,0,0,0.264
4월,04.18,키움,0.500,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0.273
4월,04.19,키움,0.000,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0.263
4월,04.21,KIA,0.333,5,3,1,1,0,0,0,0,0,0,1,0,2,0,0.267
4월,04.22,KIA,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.262
4월,04.23,KIA,0.333,4,3,1,1,1,0,0,3,0,0,0,0,0,0,0.266
