연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2009,삼성,0.244,97,267,242,43,59,19,0,0,78,17,18,6,21,2,51,7,0.322,0.308,9
2010,삼성,0.245,101,338,282,37,69,7,3,0,82,22,30,6,31,12,45,10,0.291,0.344,8
2011,삼성,0.278,128,476,406,53,113,16,4,2,143,47,29,7,47,7,61,7,0.352,0.362,22
2012,삼성,0.274,129,489,419,64,115,18,4,2,147,36,25,11,41,7,56,8,0.351,0.345,14
2013,삼성,0.298,115,422,372,57,111,17,3,7,155,44,14,5,30,5,44,7,0.417,0.354,16
2014,삼성,0.288,128,493,427,74,123,20,8,5,174,63,53,6,41,7,77,7,0.407,0.354,14
2015,삼성,0.278,132,518,449,67,125,30,4,8,187,63,26,5,43,6,56,9,0.416,0.345,18
2016,삼성,0.271,105,401,358,56,97,13,0,3,119,38,6,4,23,8,39,9,0.332,0.326,15
2017,삼성,0.264,42,154,144,17,38,7,0,3,54,13,1,1,5,1,26,4,0.375,0.291,7
2018,삼성,0.263,122,499,453,63,119,13,1,10,164,50,12,9,27,8,91,11,0.362,0.314,16
2019,삼성,0.271,129,543,468,76,127,20,2,5,166,38,21,3,50,15,67,14,0.355,0.358,10
2020,삼성,0.304,120,471,404,71,123,18,3,5,162,47,10,3,55,8,55,16,0.401,0.397,7
2021,삼성,0.235,132,496,429,46,101,17,1,3,129,42,4,2,52,3,51,14,0.301,0.320,12
2022,삼성,0.251,72,260,235,30,59,11,0,2,76,29,2,1,18,1,44,6,0.323,0.305,9
2023,KT,0.271,129,512,443,58,120,19,1,3,150,56,5,6,55,3,68,9,0.339,0.353,6
2024,KT,0.276,113,420,369,60,102,18,4,4,140,45,3,2,37,6,59,12,0.379,0.351,14
2025,KT,0.254,113,423,355,42,90,14,0,5,119,47,3,1,52,4,57,8,0.335,0.349,8
2026,KT,0.266,20,79,64,6,17,3,0,0,20,6,0,1,11,1,7,3,0.313,0.377,3
