분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,3,0.273,12,11,0,3,0,0,0,1,0,0,1,0,1,0
상대팀별,LG,3,0.250,13,12,1,3,1,0,0,0,0,0,1,0,2,1
상대팀별,NC,3,0.182,12,11,0,2,0,0,0,0,0,0,1,0,0,0
상대팀별,SSG,2,0.500,9,6,1,3,0,0,0,4,0,0,3,0,0,0
상대팀별,두산,2,0.600,5,5,1,3,1,0,0,3,0,0,0,0,0,0
상대팀별,삼성,2,0.667,9,3,3,2,0,0,0,1,0,0,6,0,0,0
상대팀별,키움,3,0.375,13,8,3,3,1,0,0,2,0,0,3,1,1,0
상대팀별,한화,3,0.286,15,14,2,4,1,0,1,2,0,0,1,0,2,0
구장별,광주,8,0.318,34,22,6,7,1,0,0,3,0,0,10,1,1,0
구장별,대전,3,0.286,15,14,2,4,1,0,1,2,0,0,1,0,2,0
구장별,문학,2,0.500,9,6,1,3,0,0,0,4,0,0,3,0,0,0
구장별,수원,3,0.273,12,11,0,3,0,0,0,1,0,0,1,0,1,0
구장별,잠실,5,0.353,18,17,2,6,2,0,0,3,0,0,1,0,2,1
월별,3~4월,21,0.329,88,70,11,23,4,0,1,13,0,0,16,1,6,1
요일별,화,4,0.455,17,11,2,5,0,0,0,3,0,0,5,0,1,0
요일별,수,4,0.308,18,13,5,4,1,0,0,1,0,0,4,1,2,1
요일별,목,3,0.200,12,10,0,2,1,0,0,0,0,0,2,0,1,0
요일별,금,3,0.455,13,11,2,5,2,0,1,3,0,0,2,0,0,0
요일별,토,4,0.357,15,14,1,5,0,0,0,6,0,0,1,0,1,0
요일별,일,3,0.182,13,11,1,2,0,0,0,0,0,0,2,0,1,0
홈/방문별,홈,8,0.318,34,22,6,7,1,0,0,3,0,0,10,1,1,0
홈/방문별,방문,13,0.333,54,48,5,16,3,0,1,10,0,0,6,0,5,1
주/야간별,주간,5,0.300,23,20,2,6,0,0,0,5,0,0,3,0,2,0
주/야간별,야간,16,0.340,65,50,9,17,4,0,1,8,0,0,13,1,4,1
기간별,전반기,21,0.329,88,70,11,23,4,0,1,13,0,0,16,1,6,1
