분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.361,36,13,3,0,1,1,10,1,1,0
주자상황별,1루,0.167,12,2,0,0,0,0,2,0,2,1
주자상황별,2루,0.167,6,1,0,0,0,1,2,0,1,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"1,2루",0.417,12,5,1,0,0,6,1,0,2,0
주자상황별,"1,3루",0.000,1,0,0,0,0,1,0,0,0,0
주자상황별,"2,3루",-,0,0,0,0,0,1,1,0,0,0
주자상황별,만루,1.000,2,2,0,0,0,3,0,0,0,0
주자상황별,주자있음,0.294,34,10,1,0,0,12,6,0,5,1
주자상황별,득점권,0.364,22,8,1,0,0,12,4,0,3,0
볼카운트별,0-0,0.250,8,2,0,0,0,2,1,0,0,0
볼카운트별,1-0,0.667,6,4,1,0,0,2,0,0,0,0
볼카운트별,2-0,0.000,2,0,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,1,4,0,0,0
볼카운트별,0-1,0.571,7,4,0,0,0,2,0,0,0,0
볼카운트별,1-1,0.250,8,2,0,0,0,1,0,0,0,0
볼카운트별,2-1,0.000,6,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.250,4,1,1,0,0,0,6,1,0,0
볼카운트별,0-2,0.333,3,1,0,0,0,0,0,0,1,0
볼카운트별,1-2,0.000,5,0,0,0,0,0,0,0,1,0
볼카운트별,2-2,0.429,7,3,0,0,1,3,0,0,2,0
볼카운트별,3-2,0.429,14,6,2,0,0,1,5,0,2,1
이닝별,1회,0.250,12,3,2,0,0,1,4,0,2,0
이닝별,2회,0.200,5,1,0,0,0,0,2,0,1,0
이닝별,3회,0.667,6,4,0,0,0,2,0,0,0,0
이닝별,4회,0.273,11,3,1,0,0,0,2,1,0,1
이닝별,5회,0.571,7,4,0,0,0,5,0,0,0,0
이닝별,6회,0.333,12,4,0,0,1,1,1,0,1,0
이닝별,7회,0.167,6,1,1,0,0,2,2,0,0,0
이닝별,8회,0.333,9,3,0,0,0,2,1,0,1,0
이닝별,9회,0.000,2,0,0,0,0,0,4,0,1,0
이닝별,1~3회,0.348,23,8,2,0,0,3,6,0,3,0
이닝별,4~6회,0.367,30,11,1,0,1,6,3,1,1,1
이닝별,7회이후,0.235,17,4,1,0,0,4,7,0,2,0
타순별,3번타자,0.359,39,14,3,0,1,8,8,1,4,0
타순별,5번타자,0.276,29,8,1,0,0,4,5,0,2,1
타순별,6번타자,0.000,1,0,0,0,0,0,3,0,0,0
타순별,8번타자,1.000,1,1,0,0,0,1,0,0,0,0
투수유형별,좌투수,0.455,22,10,3,0,0,3,6,0,1,1
투수유형별,우투수,0.277,47,13,1,0,1,10,10,1,5,0
투수유형별,언더투수,0.000,1,0,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.370,27,10,1,0,1,5,6,0,1,0
아웃카운트별,1아웃,0.391,23,9,1,0,0,6,3,1,2,1
아웃카운트별,2아웃,0.200,20,4,2,0,0,2,7,0,3,0
