분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,SSG,0.500,5,4,0,2,0,0,0,4,0,0,1,0,0,0,0.500
3월,03.29,SSG,0.500,4,2,1,1,0,0,0,0,0,0,2,0,0,0,0.500
3월,03.31,LG,0.400,5,5,1,2,0,0,0,0,0,0,0,0,1,0,0.455
4월,04.01,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.333
4월,04.02,LG,0.333,4,3,0,1,1,0,0,0,0,0,1,0,0,0,0.333
4월,04.03,NC,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.333
4월,04.04,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.280
4월,04.05,NC,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.276
4월,04.07,삼성,0.000,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0.267
4월,04.08,삼성,1.000,5,2,3,2,0,0,0,1,0,0,3,0,0,0,0.313
4월,04.10,한화,0.500,5,4,1,2,1,0,1,1,0,0,1,0,0,0,0.333
4월,04.11,한화,0.400,5,5,1,2,0,0,0,1,0,0,0,0,1,0,0.341
4월,04.12,한화,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.304
4월,04.14,키움,1.000,4,1,1,1,0,0,0,2,0,0,2,0,0,0,0.319
4월,04.15,키움,0.333,5,3,2,1,1,0,0,0,0,0,1,1,1,0,0.320
4월,04.16,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.315
4월,04.17,두산,0.500,4,4,1,2,1,0,0,2,0,0,0,0,0,0,0.328
4월,04.18,두산,1.000,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.339
4월,04.21,KT,0.500,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0.349
4월,04.22,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.343
4월,04.23,KT,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.329
