연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2008,KIA,0.255,112,322,278,39,71,2,2,0,77,24,5,9,30,2,40,8,0.277,0.330,13
2009,KIA,0.293,72,129,116,29,34,9,1,0,45,6,8,2,10,1,13,2,0.388,0.354,11
2010,KIA,0.293,115,406,348,40,102,14,2,1,123,28,23,7,34,6,44,5,0.353,0.362,14
2011,KIA,0.290,98,412,335,58,97,12,2,4,125,47,22,9,50,2,42,8,0.373,0.380,9
2012,KIA,0.281,126,532,441,63,124,19,2,5,162,55,30,12,58,2,48,9,0.367,0.363,13
2013,KIA,0.300,88,363,310,51,93,12,0,1,108,29,28,14,39,2,26,10,0.348,0.377,9
2014,KIA,0.290,33,98,93,7,27,4,0,0,31,9,2,0,3,0,10,3,0.333,0.313,1
2016,KIA,0.360,6,27,25,3,9,2,1,0,13,0,1,1,1,0,3,1,0.520,0.385,1
2017,KIA,0.370,137,529,476,84,176,34,1,5,227,64,4,4,39,5,40,10,0.477,0.420,14
2018,KIA,0.295,127,492,424,73,125,17,2,4,158,49,4,1,48,9,42,10,0.373,0.374,12
2019,KIA,0.292,121,447,394,55,115,22,0,3,146,40,5,4,43,1,26,7,0.371,0.360,10
2020,KIA,0.330,85,351,303,42,100,19,0,1,122,37,1,1,40,2,43,12,0.403,0.406,3
2021,KIA,0.307,130,564,501,55,154,32,0,5,201,67,0,0,56,1,39,19,0.401,0.375,7
2022,KIA,0.287,140,587,505,51,145,23,0,3,177,61,13,2,65,6,47,14,0.350,0.373,10
2023,KIA,0.320,119,473,419,41,134,16,0,0,150,48,3,1,38,5,26,10,0.358,0.381,7
2024,KIA,0.329,116,466,423,48,139,23,0,9,189,57,5,1,30,5,39,13,0.447,0.380,10
2025,KIA,0.321,84,308,271,31,87,18,1,3,116,46,4,0,31,3,35,9,0.428,0.395,9
2026,KIA,0.329,21,88,70,11,23,4,0,1,30,13,0,0,16,1,6,1,0.429,0.455,0
