분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.000,9,8,1,0,0,0,0,0,0,0,1,0,5,0
상대팀별,LG,3,0.273,13,11,1,3,0,0,1,2,0,0,2,0,2,0
상대팀별,NC,2,0.125,10,8,1,1,0,0,0,2,0,0,2,0,4,0
상대팀별,두산,3,0.000,12,10,0,0,0,0,0,0,0,0,2,0,4,0
상대팀별,롯데,3,0.143,16,14,2,2,0,0,0,1,0,0,2,0,2,0
상대팀별,삼성,3,0.143,9,7,0,1,1,0,0,0,0,0,2,0,3,0
상대팀별,키움,3,0.100,13,10,2,1,0,0,1,4,0,0,2,0,0,2
상대팀별,한화,2,0.000,9,5,0,0,0,0,0,0,0,0,4,0,3,0
구장별,대구,3,0.143,9,7,0,1,1,0,0,0,0,0,2,0,3,0
구장별,문학,10,0.030,43,33,3,1,0,0,1,4,0,0,9,0,12,2
구장별,사직,3,0.143,16,14,2,2,0,0,0,1,0,0,2,0,2,0
구장별,잠실,3,0.273,13,11,1,3,0,0,1,2,0,0,2,0,2,0
구장별,창원,2,0.125,10,8,1,1,0,0,0,2,0,0,2,0,4,0
월별,3~4월,21,0.110,91,73,7,8,1,0,2,9,0,0,17,0,23,2
요일별,화,4,0.100,14,10,1,1,0,0,1,4,0,0,3,0,2,1
요일별,수,4,0.100,17,10,1,1,1,0,0,0,0,0,7,0,4,0
요일별,목,3,0.000,12,12,0,0,0,0,0,0,0,0,0,0,4,1
요일별,금,2,0.143,10,7,1,1,0,0,0,1,0,0,3,0,1,0
요일별,토,4,0.294,19,17,4,5,0,0,1,4,0,0,2,0,5,0
요일별,일,4,0.000,19,17,0,0,0,0,0,0,0,0,2,0,7,0
홈/방문별,홈,10,0.030,43,33,3,1,0,0,1,4,0,0,9,0,12,2
홈/방문별,방문,11,0.175,48,40,4,7,1,0,1,5,0,0,8,0,11,0
주/야간별,주간,5,0.000,23,20,1,0,0,0,0,0,0,0,3,0,9,0
주/야간별,야간,16,0.151,68,53,6,8,1,0,2,9,0,0,14,0,14,2
기간별,전반기,21,0.110,91,73,7,8,1,0,2,9,0,0,17,0,23,2
