분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.061,33,2,1,0,1,1,6,0,10,0
주자상황별,1루,0.133,15,2,0,0,0,0,2,0,5,2
주자상황별,2루,0.250,4,1,0,0,0,1,4,0,0,0
주자상황별,3루,0.000,3,0,0,0,0,0,3,0,2,0
주자상황별,"1,2루",0.167,6,1,0,0,1,3,2,0,0,0
주자상황별,"1,3루",0.250,4,1,0,0,0,1,0,0,1,0
주자상황별,"2,3루",0.000,4,0,0,0,0,1,0,0,3,0
주자상황별,만루,0.250,4,1,0,0,0,2,0,0,2,0
주자상황별,주자있음,0.150,40,6,0,0,1,8,11,0,13,2
주자상황별,득점권,0.160,25,4,0,0,1,8,9,0,8,0
볼카운트별,0-0,0.000,11,0,0,0,0,0,0,0,0,1
볼카운트별,1-0,0.333,6,2,0,0,1,3,0,0,0,0
볼카운트별,2-0,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,0.000,1,0,0,0,0,0,3,0,0,0
볼카운트별,0-1,0.333,6,2,0,0,0,2,0,0,0,0
볼카운트별,1-1,0.167,6,1,0,0,1,1,0,0,0,0
볼카운트별,2-1,0.000,5,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,4,0,0,0
볼카운트별,0-2,0.000,3,0,0,0,0,0,0,0,2,0
볼카운트별,1-2,0.111,18,2,0,0,0,3,0,0,12,1
볼카운트별,2-2,0.000,9,0,0,0,0,0,0,0,5,0
볼카운트별,3-2,0.143,7,1,1,0,0,0,10,0,4,0
이닝별,1회,0.077,13,1,0,0,0,1,3,0,3,0
이닝별,2회,0.000,5,0,0,0,0,0,0,0,1,0
이닝별,3회,0.111,9,1,0,0,0,0,3,0,3,0
이닝별,4회,0.250,8,2,1,0,0,0,2,0,3,0
이닝별,5회,0.000,8,0,0,0,0,0,2,0,3,1
이닝별,6회,0.000,7,0,0,0,0,1,2,0,5,0
이닝별,7회,0.300,10,3,0,0,2,5,1,0,0,0
이닝별,8회,0.000,8,0,0,0,0,0,0,0,3,1
이닝별,9회,0.200,5,1,0,0,0,2,4,0,2,0
이닝별,1~3회,0.074,27,2,0,0,0,1,6,0,7,0
이닝별,4~6회,0.087,23,2,1,0,0,1,6,0,11,1
이닝별,7회이후,0.174,23,4,0,0,2,7,5,0,5,1
타순별,2번타자,0.000,3,0,0,0,0,0,1,0,0,0
타순별,4번타자,0.086,58,5,0,0,1,8,14,0,20,2
타순별,5번타자,0.222,9,2,0,0,1,1,0,0,2,0
타순별,6번타자,0.333,3,1,1,0,0,0,2,0,1,0
투수유형별,좌투수,0.063,16,1,0,0,1,3,3,0,4,1
투수유형별,우투수,0.107,56,6,1,0,0,5,14,0,19,1
투수유형별,언더투수,1.000,1,1,0,0,1,1,0,0,0,0
아웃카운트별,0아웃,0.059,17,1,0,0,0,2,5,0,3,1
아웃카운트별,1아웃,0.192,26,5,0,0,2,6,6,0,9,1
아웃카운트별,2아웃,0.067,30,2,1,0,0,1,6,0,11,0
