분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KIA,0.000,4,3,1,0,0,0,0,0,0,0,1,0,2,0,0.000
3월,03.29,KIA,0.000,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0.000
3월,03.31,키움,0.250,5,4,1,1,0,0,1,4,0,0,0,0,0,1,0.083
4월,04.01,키움,0.000,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0.071
4월,04.02,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.056
4월,04.03,롯데,0.000,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0.043
4월,04.04,롯데,0.400,5,5,1,2,0,0,0,1,0,0,0,0,1,0,0.107
4월,04.05,롯데,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.094
4월,04.07,한화,0.000,4,2,0,0,0,0,0,0,0,0,2,0,1,0,0.088
4월,04.08,한화,0.000,5,3,0,0,0,0,0,0,0,0,2,0,2,0,0.081
4월,04.10,LG,0.500,4,2,0,1,0,0,0,1,0,0,2,0,1,0,0.103
4월,04.11,LG,0.400,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0.136
4월,04.12,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.125
4월,04.14,두산,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.118
4월,04.15,두산,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.111
4월,04.16,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.103
4월,04.18,NC,0.250,5,4,1,1,0,0,0,2,0,0,1,0,2,0,0.113
4월,04.19,NC,0.000,5,4,0,0,0,0,0,0,0,0,1,0,2,0,0.106
4월,04.21,삼성,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.104
4월,04.22,삼성,0.500,4,2,0,1,1,0,0,0,0,0,2,0,0,0,0.116
4월,04.23,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.110
