연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2008,두산,0.143,14,21,21,0,3,0,0,0,3,0,0,1,0,0,6,0,0.143,0.143,0
2011,두산,0.185,30,56,54,4,10,3,0,2,19,8,1,1,1,1,14,2,0.352,0.214,0
2012,두산,0.128,13,43,39,7,5,1,0,1,9,1,0,0,4,0,9,0,0.231,0.209,2
2014,두산,0.306,52,96,85,12,26,6,0,3,41,13,1,0,11,0,12,3,0.482,0.385,2
2015,두산,0.235,48,180,153,24,36,8,0,7,65,22,4,1,22,2,39,6,0.425,0.335,2
2016,두산,0.325,134,568,492,107,160,32,3,37,309,124,8,2,71,0,107,9,0.628,0.407,5
2017,두산,0.340,144,636,544,110,185,34,2,35,328,115,4,1,81,7,123,8,0.603,0.429,8
2018,두산,0.334,139,602,527,104,176,36,1,44,346,133,2,0,59,9,134,6,0.657,0.405,4
2019,두산,0.283,136,574,495,76,140,20,5,15,215,91,3,1,63,5,113,7,0.434,0.362,0
2020,두산,0.266,140,614,516,82,137,26,1,30,255,113,6,0,91,1,154,14,0.494,0.373,2
2021,두산,0.274,137,566,475,86,130,23,2,27,238,102,2,3,81,5,127,9,0.501,0.382,4
2022,두산,0.248,128,517,448,64,111,24,1,23,206,72,2,1,61,4,133,5,0.460,0.340,3
2023,두산,0.220,132,484,405,40,89,15,0,10,134,46,3,1,72,5,100,8,0.331,0.343,1
2024,두산,0.283,136,552,474,78,134,28,0,29,249,92,1,1,63,6,168,8,0.525,0.368,0
2025,두산,0.241,103,407,344,42,83,13,2,13,139,50,7,2,57,4,96,4,0.404,0.354,0
2026,SSG,0.110,21,91,73,7,8,1,0,2,15,9,0,0,17,0,23,2,0.205,0.275,0
