분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.100,14,10,2,1,0,0,1,1,0,0,2,2,1,0
상대팀별,KT,3,0.333,13,12,1,4,0,0,1,1,0,0,1,0,2,0
상대팀별,LG,2,0.250,10,8,1,2,0,0,0,0,2,0,2,0,1,0
상대팀별,SSG,2,0.167,8,6,2,1,0,0,0,0,0,0,1,1,1,0
상대팀별,두산,2,0.250,10,8,0,2,1,0,0,0,1,0,2,0,2,0
상대팀별,롯데,3,0.071,14,14,1,1,0,0,0,0,0,0,0,0,3,0
상대팀별,삼성,3,0.154,14,13,0,2,0,0,0,0,0,0,0,1,1,0
상대팀별,키움,3,0.500,14,12,2,6,2,0,0,1,2,0,2,0,2,0
구장별,고척,3,0.500,14,12,2,6,2,0,0,1,2,0,2,0,2,0
구장별,광주,3,0.100,14,10,2,1,0,0,1,1,0,0,2,2,1,0
구장별,대구,3,0.154,14,13,0,2,0,0,0,0,0,0,0,1,1,0
구장별,창원,12,0.208,55,48,5,10,1,0,1,1,3,0,6,1,9,0
월별,3~4월,21,0.229,97,83,9,19,3,0,2,3,5,0,10,4,13,0
요일별,화,4,0.389,19,18,2,7,1,0,1,1,2,0,1,0,3,0
요일별,수,4,0.214,17,14,1,3,1,0,0,0,2,0,3,0,0,0
요일별,목,3,0.214,15,14,2,3,0,0,0,1,0,0,1,0,5,0
요일별,금,2,0.000,10,6,1,0,0,0,0,0,0,0,1,3,0,0
요일별,토,4,0.188,19,16,2,3,0,0,1,1,1,0,3,0,2,0
요일별,일,4,0.200,17,15,1,3,1,0,0,0,0,0,1,1,3,0
홈/방문별,홈,12,0.208,55,48,5,10,1,0,1,1,3,0,6,1,9,0
홈/방문별,방문,9,0.257,42,35,4,9,2,0,1,2,2,0,4,3,4,0
주/야간별,주간,5,0.211,22,19,1,4,1,0,0,0,1,0,2,1,4,0
주/야간별,야간,16,0.234,75,64,8,15,2,0,2,3,4,0,8,3,9,0
기간별,전반기,21,0.229,97,83,9,19,3,0,2,3,5,0,10,4,13,0
