분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.314,51,16,3,0,2,2,7,2,10,0
주자상황별,1루,0.100,10,1,0,0,0,0,1,0,1,0
주자상황별,2루,0.100,10,1,0,0,0,0,1,1,1,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"1,2루",0.125,8,1,0,0,0,1,0,1,1,0
주자상황별,"1,3루",0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"2,3루",-,0,0,0,0,0,0,1,0,0,0
주자상황별,만루,0.000,2,0,0,0,0,0,0,0,0,0
주자상황별,주자있음,0.094,32,3,0,0,0,1,3,2,3,0
주자상황별,득점권,0.091,22,2,0,0,0,1,2,2,2,0
볼카운트별,0-0,0.273,11,3,0,0,1,1,0,1,0,0
볼카운트별,1-0,0.200,10,2,1,0,0,0,0,0,0,0
볼카운트별,2-0,0.500,2,1,0,0,0,0,0,0,0,0
볼카운트별,0-1,0.500,2,1,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.333,12,4,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.333,9,3,1,0,0,0,0,1,3,0
볼카운트별,1-2,0.071,14,1,0,0,1,1,0,0,5,0
볼카운트별,2-2,0.364,11,4,1,0,0,1,0,1,3,0
볼카운트별,3-2,0.000,9,0,0,0,0,0,8,1,2,0
이닝별,1회,0.158,19,3,0,0,2,2,2,1,5,0
이닝별,2회,0.000,5,0,0,0,0,0,1,0,1,0
이닝별,3회,0.308,13,4,1,0,0,0,2,1,1,0
이닝별,4회,0.400,5,2,0,0,0,0,2,0,1,0
이닝별,5회,0.333,12,4,0,0,0,1,0,1,1,0
이닝별,6회,0.286,7,2,1,0,0,0,0,0,1,0
이닝별,7회,0.308,13,4,1,0,0,0,0,0,1,0
이닝별,8회,0.000,5,0,0,0,0,0,1,1,2,0
이닝별,9회,0.000,4,0,0,0,0,0,2,0,0,0
이닝별,1~3회,0.189,37,7,1,0,2,2,5,2,7,0
이닝별,4~6회,0.333,24,8,1,0,0,1,2,1,3,0
이닝별,7회이후,0.182,22,4,1,0,0,0,3,1,3,0
타순별,1번타자,0.225,80,18,3,0,2,3,10,3,12,0
타순별,2번타자,0.333,3,1,0,0,0,0,0,1,1,0
투수유형별,좌투수,0.261,23,6,1,0,1,1,5,0,3,0
투수유형별,우투수,0.218,55,12,2,0,0,1,5,4,9,0
투수유형별,언더투수,0.200,5,1,0,0,1,1,0,0,1,0
아웃카운트별,0아웃,0.182,33,6,0,0,2,2,3,1,7,0
아웃카운트별,1아웃,0.313,32,10,3,0,0,1,3,1,5,0
아웃카운트별,2아웃,0.167,18,3,0,0,0,0,4,2,1,0
