분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,두산,0.250,5,4,0,1,0,0,0,0,1,0,1,0,1,0,0.250
3월,03.29,두산,0.250,5,4,0,1,1,0,0,0,0,0,1,0,1,0,0.250
3월,03.31,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.167
4월,04.01,롯데,0.000,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.118
4월,04.02,롯데,0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0.136
4월,04.03,KIA,0.000,5,2,1,0,0,0,0,0,0,0,1,2,0,0,0.125
4월,04.04,KIA,0.250,5,4,1,1,0,0,1,1,0,0,1,0,0,0,0.143
4월,04.05,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.125
4월,04.07,LG,0.400,5,5,0,2,0,0,0,0,0,0,0,0,1,0,0.162
4월,04.08,LG,0.000,5,3,1,0,0,0,0,0,2,0,2,0,0,0,0.150
4월,04.10,삼성,0.000,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0.136
4월,04.11,삼성,0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0.143
4월,04.12,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.151
4월,04.14,KT,0.400,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0.172
4월,04.15,KT,0.500,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0.183
4월,04.16,KT,0.200,5,5,0,1,0,0,0,0,0,0,0,0,2,0,0.185
4월,04.18,SSG,0.000,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0.176
4월,04.19,SSG,0.333,4,3,1,1,0,0,0,0,0,0,0,1,1,0,0.183
4월,04.21,키움,0.750,5,4,1,3,1,0,0,0,2,0,1,0,0,0,0.213
4월,04.22,키움,0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.228
4월,04.23,키움,0.250,5,4,1,1,0,0,0,1,0,0,1,0,2,0,0.229
