분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.300,10,10,2,3,0,0,0,0,0,0,0,0,1,0
상대팀별,KT,3,0.143,14,14,1,2,0,0,0,0,0,0,0,0,0,0
상대팀별,LG,2,0.000,8,7,1,0,0,0,0,0,1,0,1,0,1,0
상대팀별,NC,3,0.400,13,10,2,4,1,0,0,2,0,0,3,0,1,1
상대팀별,SSG,3,0.250,14,12,2,3,0,0,0,0,1,0,2,0,1,0
상대팀별,두산,3,0.200,11,5,4,1,0,1,0,2,0,0,5,1,2,0
상대팀별,롯데,2,0.167,8,6,0,1,1,0,0,1,0,0,2,0,0,0
상대팀별,한화,3,0.417,17,12,5,5,1,0,0,1,2,0,3,1,1,0
구장별,광주,2,0.300,10,10,2,3,0,0,0,0,0,0,0,0,1,0
구장별,대구,13,0.225,54,40,9,9,2,1,0,5,2,0,13,1,5,1
구장별,대전,3,0.417,17,12,5,5,1,0,0,1,2,0,3,1,1,0
구장별,수원,3,0.143,14,14,1,2,0,0,0,0,0,0,0,0,0,0
월별,3~4월,21,0.250,95,76,17,19,3,1,0,6,4,0,16,2,7,1
요일별,화,4,0.308,18,13,5,4,0,0,0,0,2,0,5,0,1,0
요일별,수,4,0.400,20,15,6,6,0,1,0,3,1,0,3,1,1,0
요일별,목,3,0.182,14,11,2,2,1,0,0,0,0,0,2,1,3,0
요일별,금,2,0.286,9,7,1,2,0,0,0,0,0,0,2,0,0,0
요일별,토,4,0.143,17,14,2,2,1,0,0,2,1,0,3,0,0,1
요일별,일,4,0.188,17,16,1,3,1,0,0,1,0,0,1,0,2,0
홈/방문별,홈,13,0.225,54,40,9,9,2,1,0,5,2,0,13,1,5,1
홈/방문별,방문,8,0.278,41,36,8,10,1,0,0,1,2,0,3,1,2,0
주/야간별,주간,6,0.136,25,22,2,3,1,0,0,1,1,0,3,0,2,0
주/야간별,야간,15,0.296,70,54,15,16,2,1,0,5,3,0,13,2,5,1
기간별,전반기,21,0.250,95,76,17,19,3,1,0,6,4,0,16,2,7,1
