분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.205,39,8,1,0,0,0,11,1,6,0
주자상황별,1루,0.238,21,5,0,0,0,0,2,1,1,1
주자상황별,2루,0.500,8,4,1,0,0,1,1,0,0,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"1,2루",0.000,2,0,0,0,0,0,0,0,0,0
주자상황별,"1,3루",0.500,2,1,0,1,0,2,0,0,0,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,2,0,0,0
주자상황별,만루,0.500,2,1,1,0,0,3,0,0,0,0
주자상황별,주자있음,0.297,37,11,2,1,0,6,5,1,1,1
주자상황별,득점권,0.375,16,6,2,1,0,6,3,0,0,0
볼카운트별,0-0,0.333,12,4,1,0,0,2,0,1,0,1
볼카운트별,1-0,0.333,9,3,0,1,0,2,0,0,0,0
볼카운트별,2-0,0.000,3,0,0,0,0,1,1,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-1,0.333,9,3,1,0,0,1,0,1,0,0
볼카운트별,1-1,0.111,9,1,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.333,3,1,1,0,0,0,0,0,0,0
볼카운트별,3-1,1.000,1,1,0,0,0,0,5,0,0,0
볼카운트별,0-2,0.000,5,0,0,0,0,0,0,0,1,0
볼카운트별,1-2,0.083,12,1,0,0,0,0,0,0,4,0
볼카운트별,2-2,0.500,8,4,0,0,0,0,0,0,1,0
볼카운트별,3-2,0.200,5,1,0,0,0,0,7,0,1,0
이닝별,1회,0.167,12,2,0,0,0,1,4,1,1,0
이닝별,2회,0.500,6,3,1,0,0,2,0,0,0,0
이닝별,3회,0.308,13,4,0,0,0,0,1,0,2,0
이닝별,4회,0.167,6,1,0,0,0,0,0,1,1,1
이닝별,5회,0.222,9,2,0,0,0,0,3,0,1,0
이닝별,6회,0.250,8,2,0,0,0,0,0,0,0,0
이닝별,7회,0.333,9,3,1,1,0,3,4,0,1,0
이닝별,8회,0.167,6,1,1,0,0,0,2,0,1,0
이닝별,9회,0.143,7,1,0,0,0,0,1,0,0,0
이닝별,연장,-,0,0,0,0,0,0,1,0,0,0
이닝별,1~3회,0.290,31,9,1,0,0,3,5,1,3,0
이닝별,4~6회,0.217,23,5,0,0,0,0,3,1,2,1
이닝별,7회이후,0.227,22,5,2,1,0,3,8,0,2,0
타순별,1번타자,0.167,36,6,0,1,0,2,4,1,4,0
타순별,2번타자,0.344,32,11,2,0,0,3,6,1,3,1
타순별,7번타자,-,0,0,0,0,0,0,2,0,0,0
타순별,9번타자,0.250,8,2,1,0,0,1,4,0,0,0
투수유형별,좌투수,0.286,14,4,0,0,0,1,4,1,3,0
투수유형별,우투수,0.242,62,15,3,1,0,5,12,1,4,1
아웃카운트별,0아웃,0.192,26,5,0,0,0,0,9,1,0,0
아웃카운트별,1아웃,0.308,26,8,2,0,0,2,4,1,3,1
아웃카운트별,2아웃,0.250,24,6,1,1,0,4,3,0,4,0
