분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,롯데,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.000
3월,03.29,롯데,0.333,4,3,0,1,1,0,0,1,0,0,1,0,0,0,0.167
3월,03.31,두산,-,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.167
4월,04.01,두산,0.333,5,3,3,1,0,1,0,2,0,0,1,1,0,0,0.222
4월,04.02,두산,0.000,4,2,1,0,0,0,0,0,0,0,2,0,2,0,0.182
4월,04.03,KT,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.188
4월,04.04,KT,0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.190
4월,04.05,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.160
4월,04.07,KIA,0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0.167
4월,04.08,KIA,0.400,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0.200
4월,04.10,NC,0.500,4,2,1,1,0,0,0,0,0,0,2,0,0,0,0.216
4월,04.11,NC,0.333,4,3,0,1,1,0,0,2,0,0,1,0,0,1,0.225
4월,04.12,NC,0.400,5,5,1,2,0,0,0,0,0,0,0,0,1,0,0.244
4월,04.14,한화,0.250,6,4,2,1,0,0,0,0,1,0,2,0,0,0,0.245
4월,04.15,한화,0.750,6,4,2,3,0,0,0,1,1,0,1,0,0,0,0.283
4월,04.16,한화,0.250,5,4,1,1,1,0,0,0,0,0,0,1,1,0,0.281
4월,04.18,LG,0.000,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0.267
4월,04.19,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.250
4월,04.21,SSG,0.500,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0.265
4월,04.22,SSG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.254
4월,04.23,SSG,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.250
