분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.429,14,14,3,6,2,0,1,3,0,0,0,0,1,0
상대팀별,LG,2,0.111,11,9,2,1,0,0,0,2,0,0,2,0,0,1
상대팀별,NC,3,0.308,13,13,3,4,1,0,2,5,0,0,0,0,3,0
상대팀별,두산,3,0.214,14,14,0,3,1,0,0,2,0,1,0,0,3,1
상대팀별,롯데,2,0.286,9,7,1,2,0,0,0,0,0,0,2,0,0,0
상대팀별,삼성,3,0.333,13,12,0,4,1,0,0,2,0,0,1,0,2,1
상대팀별,키움,3,0.273,12,11,1,3,0,0,0,1,0,0,1,0,2,1
상대팀별,한화,3,0.467,17,15,4,7,3,0,0,5,0,0,2,0,1,0
구장별,대전,3,0.467,17,15,4,7,3,0,0,5,0,0,2,0,1,0
구장별,사직,2,0.286,9,7,1,2,0,0,0,0,0,0,2,0,0,0
구장별,수원,12,0.314,53,51,4,16,4,0,1,8,0,1,2,0,8,3
구장별,잠실,2,0.111,11,9,2,1,0,0,0,2,0,0,2,0,0,1
구장별,창원,3,0.308,13,13,3,4,1,0,2,5,0,0,0,0,3,0
월별,3~4월,22,0.316,103,95,14,30,8,0,3,20,0,1,8,0,12,4
요일별,화,4,0.412,20,17,3,7,1,0,1,2,0,0,3,0,5,0
요일별,수,4,0.389,19,18,4,7,2,0,2,9,0,0,1,0,0,0
요일별,목,3,0.357,14,14,4,5,3,0,0,2,0,0,0,0,0,0
요일별,금,3,0.231,14,13,1,3,0,0,0,2,0,0,1,0,3,2
요일별,토,4,0.353,19,17,1,6,2,0,0,4,0,1,2,0,2,0
요일별,일,4,0.125,17,16,1,2,0,0,0,1,0,0,1,0,2,2
홈/방문별,홈,12,0.314,53,51,4,16,4,0,1,8,0,1,2,0,8,3
홈/방문별,방문,10,0.318,50,44,10,14,4,0,2,12,0,0,6,0,4,1
주/야간별,주간,4,0.176,19,17,2,3,0,0,0,2,0,0,2,0,1,2
주/야간별,야간,18,0.346,84,78,12,27,8,0,3,18,0,1,6,0,11,2
기간별,전반기,22,0.316,103,95,14,30,8,0,3,20,0,1,8,0,12,4
