분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.283,46,13,3,0,0,0,6,0,7,0
주자상황별,1루,0.350,20,7,2,0,1,3,1,0,2,3
주자상황별,2루,0.429,7,3,0,0,0,2,0,0,0,0
주자상황별,3루,0.500,4,2,1,0,1,3,0,0,0,0
주자상황별,"1,2루",0.250,8,2,1,0,1,5,1,0,1,1
주자상황별,"1,3루",0.250,4,1,0,0,0,2,0,0,1,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,만루,0.400,5,2,1,0,0,5,0,0,1,0
주자상황별,주자있음,0.347,49,17,5,0,3,20,2,0,5,4
주자상황별,득점권,0.345,29,10,3,0,2,17,1,0,3,1
볼카운트별,0-0,0.091,11,1,1,0,0,0,0,0,0,1
볼카운트별,1-0,0.444,9,4,0,0,0,1,0,0,0,0
볼카운트별,2-0,0.333,3,1,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.222,9,2,1,0,0,0,0,0,0,2
볼카운트별,1-1,0.364,11,4,0,0,0,1,0,0,0,0
볼카운트별,2-1,1.000,5,5,2,0,1,5,0,0,0,0
볼카운트별,3-1,0.250,4,1,0,0,0,0,4,0,0,0
볼카운트별,0-2,0.000,6,0,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.200,15,3,2,0,0,1,0,0,3,1
볼카운트별,2-2,0.357,14,5,1,0,1,6,0,0,5,0
볼카운트별,3-2,0.500,8,4,1,0,1,5,2,0,1,0
이닝별,1회,0.286,21,6,1,0,1,2,1,0,2,0
이닝별,2회,0.200,5,1,1,0,0,2,0,0,1,0
이닝별,3회,0.333,15,5,0,0,1,2,2,0,2,0
이닝별,4회,0.000,6,0,0,0,0,0,0,0,1,0
이닝별,5회,0.143,14,2,0,0,0,0,0,0,2,1
이닝별,6회,0.333,3,1,1,0,0,1,2,0,0,0
이닝별,7회,0.563,16,9,2,0,1,9,2,0,3,2
이닝별,8회,0.429,7,3,1,0,0,0,0,0,1,1
이닝별,9회,0.429,7,3,2,0,0,4,1,0,0,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.293,41,12,2,0,2,6,3,0,5,0
이닝별,4~6회,0.130,23,3,1,0,0,1,2,0,3,1
이닝별,7회이후,0.484,31,15,5,0,1,13,3,0,4,3
타순별,2번타자,0.308,65,20,5,0,2,16,7,0,9,3
타순별,3번타자,0.333,30,10,3,0,1,4,1,0,3,1
투수유형별,좌투수,0.290,31,9,2,0,0,3,1,0,2,2
투수유형별,우투수,0.328,64,21,6,0,3,17,7,0,10,2
아웃카운트별,0아웃,0.333,24,8,3,0,0,0,2,0,3,2
아웃카운트별,1아웃,0.302,43,13,2,0,3,13,3,0,4,2
아웃카운트별,2아웃,0.321,28,9,3,0,0,7,3,0,5,0
