분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,LG,0.200,6,5,1,1,0,0,0,1,0,0,1,0,0,0,0.200
3월,03.29,LG,0.000,5,4,1,0,0,0,0,1,0,0,1,0,0,1,0.111
3월,03.31,한화,0.500,6,4,1,2,1,0,0,0,0,0,2,0,1,0,0.231
4월,04.01,한화,0.500,6,6,1,3,1,0,0,4,0,0,0,0,0,0,0.316
4월,04.02,한화,0.400,5,5,2,2,1,0,0,1,0,0,0,0,0,0,0.333
4월,04.03,삼성,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,1,0.333
4월,04.04,삼성,0.200,5,5,0,1,1,0,0,2,0,0,0,0,2,0,0.313
4월,04.05,삼성,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.333
4월,04.07,롯데,0.500,5,4,1,2,0,0,0,0,0,0,1,0,0,0,0.350
4월,04.08,롯데,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.326
4월,04.10,두산,0.167,6,6,0,1,0,0,0,2,0,0,0,0,2,0,0.306
4월,04.11,두산,0.500,4,4,0,2,1,0,0,0,0,1,0,0,0,0,0.321
4월,04.12,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.298
4월,04.14,NC,0.250,4,4,0,1,0,0,0,0,0,0,0,0,3,0,0.295
4월,04.15,NC,0.500,4,4,2,2,0,0,2,5,0,0,0,0,0,0,0.308
4월,04.16,NC,0.200,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0.300
4월,04.17,키움,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,1,0.297
4월,04.18,키움,0.667,4,3,0,2,0,0,0,1,0,0,1,0,0,0,0.312
4월,04.19,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.296
4월,04.21,KIA,0.400,5,5,1,2,0,0,1,2,0,0,0,0,1,0,0.302
4월,04.22,KIA,0.400,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0.308
4월,04.23,KIA,0.500,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0.316
