연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2006,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
2007,두산,0.273,99,353,319,33,87,19,3,5,127,32,5,2,26,5,46,12,0.398,0.335,3
2008,두산,0.357,126,558,470,83,168,34,5,9,239,89,13,8,80,5,40,12,0.509,0.454,1
2009,두산,0.357,133,572,482,97,172,31,6,23,284,104,6,6,80,4,59,7,0.589,0.448,3
2010,두산,0.317,132,565,473,88,150,29,0,24,251,89,4,8,78,6,64,9,0.531,0.414,3
2011,두산,0.301,130,561,475,71,143,25,2,13,211,91,5,3,71,6,63,15,0.444,0.392,7
2012,두산,0.291,122,491,437,47,127,17,1,7,167,65,6,3,46,3,50,9,0.382,0.358,4
2013,두산,0.302,122,510,434,63,131,23,1,16,204,90,2,4,62,2,71,6,0.470,0.382,2
2014,두산,0.322,125,528,463,75,149,26,0,17,226,90,2,0,53,7,45,10,0.488,0.396,1
2015,두산,0.326,141,630,512,103,167,26,0,28,277,121,11,5,101,8,63,13,0.541,0.438,1
2018,LG,0.362,117,511,453,95,164,39,2,20,267,101,1,3,47,1,61,9,0.589,0.415,5
2019,LG,0.304,140,595,526,75,160,37,0,11,230,82,3,1,54,6,52,11,0.437,0.370,1
2020,LG,0.331,142,619,547,98,181,35,2,22,286,119,0,2,63,2,53,9,0.523,0.397,1
2021,LG,0.285,140,595,506,70,144,23,1,17,220,96,3,0,77,3,42,7,0.435,0.376,0
2022,LG,0.286,141,604,524,78,150,25,2,23,248,106,2,1,71,5,62,5,0.473,0.375,2
2023,LG,0.293,133,556,488,53,143,22,2,6,187,88,2,1,58,1,53,10,0.383,0.364,2
2024,LG,0.294,137,583,517,61,152,36,2,8,216,69,6,1,47,9,76,10,0.418,0.357,0
2025,LG,0.298,140,552,483,66,144,24,0,12,204,90,4,0,64,4,73,10,0.422,0.384,4
2026,KT,0.316,22,103,95,14,30,8,0,3,47,20,0,1,8,0,12,4,0.495,0.369,1
