분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.167,9,6,1,1,0,0,0,0,0,0,3,0,3,1
상대팀별,KT,3,0.143,8,7,0,1,0,0,0,2,0,0,1,0,3,0
상대팀별,LG,2,0.333,8,6,0,2,0,0,0,0,0,0,2,0,3,0
상대팀별,SSG,2,0.200,6,5,1,1,0,0,0,1,0,0,1,0,1,0
상대팀별,두산,2,0.111,9,9,1,1,0,0,1,2,0,0,0,0,5,1
상대팀별,롯데,3,0.200,12,10,1,2,0,0,0,1,0,0,1,1,5,0
상대팀별,삼성,3,0.625,9,8,0,5,2,0,0,2,0,0,1,0,1,0
상대팀별,키움,2,0.286,8,7,0,2,0,0,0,2,0,0,1,0,2,0
구장별,고척,2,0.286,8,7,0,2,0,0,0,2,0,0,1,0,2,0
구장별,광주,3,0.167,9,6,1,1,0,0,0,0,0,0,3,0,3,1
구장별,대구,3,0.625,9,8,0,5,2,0,0,2,0,0,1,0,1,0
구장별,창원,12,0.189,43,37,3,7,0,0,1,6,0,0,5,1,17,1
월별,3~4월,20,0.259,69,58,4,15,2,0,1,10,0,0,10,1,23,2
요일별,화,4,0.250,16,12,1,3,0,0,0,3,0,0,3,1,6,0
요일별,수,3,0.222,10,9,0,2,0,0,0,0,0,0,1,0,3,0
요일별,목,3,0.222,10,9,0,2,0,0,0,2,0,0,1,0,4,0
요일별,금,2,0.143,8,7,0,1,0,0,0,0,0,0,1,0,3,1
요일별,토,4,0.417,16,12,1,5,2,0,0,2,0,0,4,0,5,1
요일별,일,4,0.222,9,9,2,2,0,0,1,3,0,0,0,0,2,0
홈/방문별,홈,12,0.189,43,37,3,7,0,0,1,6,0,0,5,1,17,1
홈/방문별,방문,8,0.381,26,21,1,8,2,0,0,4,0,0,5,0,6,1
주/야간별,주간,5,0.154,13,13,2,2,0,0,1,3,0,0,0,0,5,1
주/야간별,야간,15,0.289,56,45,2,13,2,0,0,7,0,0,10,1,18,1
기간별,전반기,20,0.259,69,58,4,15,2,0,1,10,0,0,10,1,23,2
