분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.348,23,8,1,0,0,0,6,0,9,0
주자상황별,1루,0.125,16,2,0,0,1,2,3,1,6,2
주자상황별,2루,0.250,4,1,0,0,0,1,0,0,2,0
주자상황별,3루,-,0,0,0,0,0,0,1,0,0,0
주자상황별,"1,2루",0.125,8,1,0,0,0,1,0,0,4,0
주자상황별,"1,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,"2,3루",0.500,2,1,0,0,0,2,0,0,1,0
주자상황별,만루,0.500,4,2,1,0,0,4,0,0,0,0
주자상황별,주자있음,0.200,35,7,1,0,1,10,4,1,14,2
주자상황별,득점권,0.263,19,5,1,0,0,8,1,0,8,0
볼카운트별,0-0,0.429,7,3,1,0,0,0,0,0,0,0
볼카운트별,1-0,0.750,4,3,0,0,0,2,0,0,0,0
볼카운트별,2-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.400,5,2,0,0,0,2,0,0,0,0
볼카운트별,1-1,0.429,7,3,1,0,1,4,0,1,0,1
볼카운트별,2-1,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.500,2,1,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.000,3,0,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.111,9,1,0,0,0,0,0,0,6,1
볼카운트별,2-2,0.091,11,1,0,0,0,0,0,0,9,0
볼카운트별,3-2,0.143,7,1,0,0,0,2,7,0,5,0
이닝별,1회,0.500,2,1,0,0,0,2,1,0,1,0
이닝별,2회,0.250,12,3,0,0,0,0,1,1,3,1
이닝별,3회,0.500,6,3,1,0,0,3,1,0,1,0
이닝별,4회,0.300,10,3,0,0,1,3,1,0,3,0
이닝별,5회,0.200,5,1,0,0,0,2,2,0,2,0
이닝별,6회,0.111,9,1,1,0,0,0,1,0,6,0
이닝별,7회,0.200,5,1,0,0,0,0,2,0,4,0
이닝별,8회,0.286,7,2,0,0,0,0,1,0,1,1
이닝별,9회,0.000,2,0,0,0,0,0,0,0,2,0
이닝별,1~3회,0.350,20,7,1,0,0,5,3,1,5,1
이닝별,4~6회,0.208,24,5,1,0,1,5,4,0,11,0
이닝별,7회이후,0.214,14,3,0,0,0,0,3,0,7,1
타순별,6번타자,0.188,16,3,0,0,0,1,4,1,8,1
타순별,7번타자,0.143,14,2,0,0,1,2,1,0,7,1
타순별,8번타자,0.370,27,10,2,0,0,7,5,0,8,0
타순별,9번타자,0.000,1,0,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.385,13,5,2,0,0,2,5,0,3,0
투수유형별,우투수,0.200,40,8,0,0,1,4,5,1,18,2
투수유형별,언더투수,0.400,5,2,0,0,0,4,0,0,2,0
아웃카운트별,0아웃,0.250,12,3,0,0,0,2,4,0,5,2
아웃카운트별,1아웃,0.294,17,5,1,0,1,3,5,1,5,0
아웃카운트별,2아웃,0.241,29,7,1,0,0,5,1,0,13,0
