분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,3,0.364,13,11,3,4,1,0,0,1,1,1,2,0,3,0
상대팀별,LG,3,0.333,13,12,1,4,2,0,0,1,0,0,1,0,1,0
상대팀별,NC,3,0.364,11,11,0,4,0,0,0,0,1,0,0,0,1,0
상대팀별,SSG,2,0.000,10,8,2,0,0,0,0,0,0,0,2,0,3,0
상대팀별,두산,3,0.500,14,12,4,6,2,0,0,1,0,0,1,1,2,0
상대팀별,삼성,2,0.500,11,8,1,4,2,0,0,2,1,0,0,1,1,0
상대팀별,키움,3,0.417,14,12,2,5,1,0,1,4,0,1,0,1,2,0
상대팀별,한화,3,0.071,15,14,1,1,0,0,0,1,0,0,1,0,5,1
구장별,광주,8,0.419,36,31,3,13,3,0,1,6,2,1,0,2,4,0
구장별,대전,3,0.071,15,14,1,1,0,0,0,1,0,0,1,0,5,1
구장별,문학,2,0.000,10,8,2,0,0,0,0,0,0,0,2,0,3,0
구장별,수원,3,0.364,13,11,3,4,1,0,0,1,1,1,2,0,3,0
구장별,잠실,6,0.417,27,24,5,10,4,0,0,2,0,0,2,1,3,0
월별,3~4월,22,0.318,101,88,14,28,8,0,1,10,3,2,7,3,18,1
요일별,화,4,0.357,20,14,4,5,1,0,0,2,2,1,2,2,2,0
요일별,수,4,0.471,19,17,2,8,3,0,1,4,0,1,1,0,4,0
요일별,목,3,0.333,12,12,1,4,2,0,0,2,0,0,0,0,1,0
요일별,금,3,0.167,14,12,2,2,0,0,0,1,0,0,1,1,3,1
요일별,토,4,0.294,19,17,3,5,2,0,0,0,0,0,2,0,4,0
요일별,일,4,0.250,17,16,2,4,0,0,0,1,1,0,1,0,4,0
홈/방문별,홈,8,0.419,36,31,3,13,3,0,1,6,2,1,0,2,4,0
홈/방문별,방문,14,0.263,65,57,11,15,5,0,0,4,1,1,7,1,14,1
주/야간별,주간,6,0.208,27,24,4,5,0,0,0,1,1,0,3,0,6,0
주/야간별,야간,16,0.359,74,64,10,23,8,0,1,9,2,2,4,3,12,1
기간별,전반기,22,0.318,101,88,14,28,8,0,1,10,3,2,7,3,18,1
