분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.333,45,15,5,0,0,0,3,2,8,0
주자상황별,1루,0.353,17,6,1,0,0,0,2,0,3,1
주자상황별,2루,0.200,10,2,1,0,1,3,1,0,4,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.333,9,3,1,0,0,3,0,0,1,0
주자상황별,"1,3루",1.000,1,1,0,0,0,1,0,1,0,0
주자상황별,"2,3루",0.333,3,1,0,0,0,2,0,0,0,0
주자상황별,만루,0.000,2,0,0,0,0,1,1,0,1,0
주자상황별,주자있음,0.302,43,13,3,0,1,10,4,1,10,1
주자상황별,득점권,0.269,26,7,2,0,1,10,2,1,7,0
볼카운트별,0-0,0.583,12,7,3,0,0,2,0,0,0,0
볼카운트별,1-0,0.250,4,1,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.308,13,4,1,0,1,5,0,0,0,1
볼카운트별,1-1,0.417,12,5,1,0,0,0,0,1,0,0
볼카운트별,2-1,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.091,11,1,0,0,0,0,0,2,8,0
볼카운트별,1-2,0.353,17,6,2,0,0,1,0,0,6,0
볼카운트별,2-2,0.250,12,3,1,0,0,1,0,0,3,0
볼카운트별,3-2,0.250,4,1,0,0,0,1,4,0,1,0
이닝별,1회,0.222,18,4,1,0,0,0,1,0,5,0
이닝별,2회,0.444,9,4,0,0,1,3,0,0,1,0
이닝별,3회,0.200,10,2,0,0,0,1,1,0,4,0
이닝별,4회,0.364,11,4,1,0,0,1,0,0,2,0
이닝별,5회,0.625,8,5,2,0,0,2,1,1,0,1
이닝별,6회,0.222,9,2,0,0,0,0,0,0,2,0
이닝별,7회,0.375,8,3,3,0,0,3,3,0,1,0
이닝별,8회,0.444,9,4,1,0,0,0,1,0,0,0
이닝별,9회,0.000,6,0,0,0,0,0,0,2,3,0
이닝별,1~3회,0.270,37,10,1,0,1,4,2,0,10,0
이닝별,4~6회,0.393,28,11,3,0,0,3,1,1,4,1
이닝별,7회이후,0.304,23,7,4,0,0,3,4,2,4,0
타순별,1번타자,0.148,27,4,2,0,0,2,4,0,8,0
타순별,2번타자,0.360,50,18,6,0,1,7,3,3,10,1
타순별,7번타자,0.571,7,4,0,0,0,1,0,0,0,0
타순별,9번타자,0.500,4,2,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.355,31,11,4,0,1,4,3,0,4,0
투수유형별,우투수,0.283,53,15,3,0,0,6,4,2,14,1
투수유형별,언더투수,0.500,4,2,1,0,0,0,0,1,0,0
아웃카운트별,0아웃,0.214,28,6,2,0,0,0,2,0,8,0
아웃카운트별,1아웃,0.481,27,13,4,0,0,5,1,3,2,1
아웃카운트별,2아웃,0.273,33,9,2,0,1,5,4,0,8,0
