분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,SSG,0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.000
3월,03.29,SSG,0.000,5,4,1,0,0,0,0,0,0,0,1,0,2,0,0.000
3월,03.31,LG,0.250,5,4,1,1,0,0,0,1,0,0,1,0,1,0,0.083
4월,04.01,LG,0.750,4,4,0,3,2,0,0,0,0,0,0,0,0,0,0.250
4월,04.02,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.200
4월,04.03,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.167
4월,04.04,NC,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.214
4월,04.05,NC,0.667,3,3,0,2,0,0,0,0,1,0,0,0,0,0,0.258
4월,04.07,삼성,0.667,5,3,0,2,1,0,0,1,1,0,0,1,1,0,0.294
4월,04.08,삼성,0.400,6,5,1,2,1,0,0,1,0,0,0,0,0,0,0.308
4월,04.10,한화,0.000,5,5,0,0,0,0,0,1,0,0,0,0,2,1,0.273
4월,04.11,한화,0.250,5,4,1,1,0,0,0,0,0,0,1,0,1,0,0.271
4월,04.12,한화,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.245
4월,04.14,키움,0.000,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0.232
4월,04.15,키움,0.600,5,5,1,3,0,0,1,2,0,1,0,0,1,0,0.262
4월,04.16,키움,0.500,4,4,0,2,1,0,0,2,0,0,0,0,1,0,0.277
4월,04.17,두산,0.667,5,3,2,2,0,0,0,0,0,0,1,1,0,0,0.294
4월,04.18,두산,0.400,5,5,1,2,2,0,0,0,0,0,0,0,2,0,0.301
4월,04.19,두산,0.500,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0.312
4월,04.21,KT,0.500,5,4,2,2,0,0,0,0,1,1,1,0,0,0,0.321
4월,04.22,KT,0.000,4,3,0,0,0,0,0,1,0,0,1,0,3,0,0.310
4월,04.23,KT,0.500,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0.318
