연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2015,KIA,0.218,103,283,257,31,56,10,2,1,73,21,11,2,15,5,83,2,0.284,0.274,2
2016,KIA,0.267,124,514,453,72,121,18,3,8,169,41,19,10,36,10,104,7,0.373,0.333,3
2017,KIA,0.267,98,105,90,31,24,6,1,1,35,11,3,2,9,2,23,0,0.389,0.343,0
2020,KIA,0.232,89,159,138,36,32,5,2,4,53,16,3,3,14,3,55,2,0.384,0.314,2
2021,KIA,0.208,62,154,130,16,27,2,0,4,41,15,4,1,16,6,44,2,0.315,0.322,0
2022,KIA,0.273,54,88,77,21,21,1,1,1,27,8,2,1,7,0,22,4,0.351,0.333,3
2023,KIA,0.179,76,107,95,16,17,7,0,0,24,6,1,0,8,1,38,1,0.253,0.250,1
2024,KIA,0.136,64,67,59,12,8,2,0,1,13,4,3,2,8,0,25,1,0.220,0.239,2
2025,KIA,0.283,105,381,332,46,94,26,3,6,144,39,12,1,34,6,94,4,0.434,0.359,6
2026,KIA,0.318,22,101,88,14,28,8,0,1,39,10,3,2,7,3,18,1,0.443,0.388,0
