분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,3,0.250,12,8,1,2,1,0,0,3,0,0,4,0,2,0
상대팀별,LG,3,0.167,13,12,0,2,0,0,0,0,0,0,0,1,4,0
상대팀별,NC,2,0.143,8,7,0,1,0,0,0,0,0,0,1,0,3,0
상대팀별,SSG,2,0.333,10,9,1,3,0,0,1,3,0,0,1,0,2,0
상대팀별,두산,2,0.286,9,7,2,2,0,0,0,0,0,0,2,0,4,0
상대팀별,삼성,2,0.375,9,8,2,3,0,0,1,5,0,0,0,0,2,0
상대팀별,키움,3,0.200,12,10,1,2,1,0,0,1,0,0,2,0,2,0
상대팀별,한화,3,0.273,13,11,4,3,0,0,1,3,0,0,2,0,4,0
구장별,광주,7,0.240,29,25,3,6,1,0,1,6,0,0,3,0,7,0
구장별,대전,3,0.273,13,11,4,3,0,0,1,3,0,0,2,0,4,0
구장별,문학,2,0.333,10,9,1,3,0,0,1,3,0,0,1,0,2,0
구장별,수원,3,0.250,12,8,1,2,1,0,0,3,0,0,4,0,2,0
구장별,잠실,5,0.211,22,19,2,4,0,0,0,0,0,0,2,1,8,0
월별,3~4월,20,0.250,86,72,11,18,2,0,3,15,0,0,12,1,23,0
요일별,화,4,0.231,17,13,0,3,1,0,0,3,0,0,3,1,5,0
요일별,수,4,0.357,17,14,3,5,1,0,1,6,0,0,2,0,2,0
요일별,목,3,0.091,12,11,1,1,0,0,0,0,0,0,1,0,3,0
요일별,금,2,0.143,8,7,1,1,0,0,1,2,0,0,1,0,3,0
요일별,토,4,0.400,18,15,2,6,0,0,0,1,0,0,3,0,6,0
요일별,일,3,0.167,14,12,4,2,0,0,1,3,0,0,2,0,4,0
홈/방문별,홈,7,0.240,29,25,3,6,1,0,1,6,0,0,3,0,7,0
홈/방문별,방문,13,0.255,57,47,8,12,1,0,2,9,0,0,9,1,16,0
주/야간별,주간,5,0.250,23,20,5,5,0,0,1,4,0,0,3,0,7,0
주/야간별,야간,15,0.250,63,52,6,13,2,0,2,11,0,0,9,1,16,0
기간별,전반기,20,0.250,86,72,11,18,2,0,3,15,0,0,12,1,23,0
