분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.121,33,4,0,0,0,0,6,0,14,0
주자상황별,1루,0.318,22,7,1,0,2,5,2,0,6,0
주자상황별,2루,0.500,6,3,0,0,1,4,2,1,1,0
주자상황별,3루,0.000,3,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.667,3,2,1,0,0,2,2,0,0,0
주자상황별,"1,3루",0.500,2,1,0,0,0,2,0,0,1,0
주자상황별,"2,3루",0.500,2,1,0,0,0,1,0,0,0,0
주자상황별,만루,0.000,1,0,0,0,0,1,0,0,0,0
주자상황별,주자있음,0.359,39,14,2,0,3,15,6,1,9,0
주자상황별,득점권,0.412,17,7,1,0,1,10,4,1,3,0
볼카운트별,0-0,0.250,8,2,1,0,0,2,0,0,0,0
볼카운트별,1-0,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.667,3,2,1,0,1,3,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.500,8,4,0,0,1,3,0,0,0,0
볼카운트별,1-1,0.500,6,3,0,0,0,5,0,0,0,0
볼카운트별,2-1,0.400,5,2,0,0,1,2,0,0,0,0
볼카운트별,3-1,0.500,2,1,0,0,0,0,5,0,0,0
볼카운트별,0-2,0.286,7,2,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.000,11,0,0,0,0,0,0,1,8,0
볼카운트별,2-2,0.167,12,2,0,0,0,0,0,0,8,0
볼카운트별,3-2,0.000,7,0,0,0,0,0,5,0,4,0
이닝별,1회,0.300,10,3,0,0,0,2,1,0,3,0
이닝별,2회,0.222,9,2,1,0,0,2,3,0,3,0
이닝별,3회,0.286,7,2,0,0,1,2,0,0,1,0
이닝별,4회,0.250,8,2,0,0,1,4,2,0,3,0
이닝별,5회,0.286,7,2,0,0,0,0,1,0,1,0
이닝별,6회,0.222,9,2,0,0,0,2,1,1,2,0
이닝별,7회,0.286,7,2,0,0,1,2,2,0,2,0
이닝별,8회,0.200,10,2,1,0,0,1,1,0,5,0
이닝별,9회,0.200,5,1,0,0,0,0,0,0,3,0
이닝별,연장,-,0,0,0,0,0,0,1,0,0,0
이닝별,1~3회,0.269,26,7,1,0,1,6,4,0,7,0
이닝별,4~6회,0.250,24,6,0,0,1,6,4,1,6,0
이닝별,7회이후,0.227,22,5,1,0,1,3,4,0,10,0
타순별,4번타자,0.214,28,6,0,0,1,3,2,1,9,0
타순별,5번타자,0.227,22,5,2,0,0,4,3,0,9,0
타순별,6번타자,0.318,22,7,0,0,2,8,7,0,5,0
투수유형별,좌투수,0.267,30,8,1,0,2,7,4,0,8,0
투수유형별,우투수,0.244,41,10,1,0,1,8,8,1,14,0
투수유형별,언더투수,0.000,1,0,0,0,0,0,0,0,1,0
아웃카운트별,0아웃,0.250,20,5,0,0,0,1,5,1,7,0
아웃카운트별,1아웃,0.250,20,5,1,0,2,6,3,0,8,0
아웃카운트별,2아웃,0.250,32,8,1,0,1,8,4,0,8,0
