분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,SSG,0.500,5,4,0,2,0,0,0,1,0,0,1,0,2,0,0.500
3월,03.29,SSG,0.200,5,5,1,1,0,0,1,2,0,0,0,0,0,0,0.333
3월,03.31,LG,0.000,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0.231
4월,04.01,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.235
4월,04.02,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.238
4월,04.03,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.200
4월,04.04,NC,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.214
4월,04.07,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.188
4월,04.08,삼성,0.750,5,4,2,3,0,0,1,5,0,0,0,0,0,0,0.250
4월,04.10,한화,0.333,4,3,1,1,0,0,1,2,0,0,1,0,1,0,0.256
4월,04.11,한화,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.256
4월,04.12,한화,0.250,5,4,2,1,0,0,0,1,0,0,1,0,2,0,0.255
4월,04.14,키움,0.500,4,2,0,1,0,0,0,0,0,0,2,0,0,0,0.265
4월,04.15,키움,0.250,4,4,0,1,1,0,0,1,0,0,0,0,1,0,0.264
4월,04.16,키움,0.000,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0.246
4월,04.18,두산,0.500,5,4,1,2,0,0,0,0,0,0,1,0,2,0,0.262
4월,04.19,두산,0.000,4,3,1,0,0,0,0,0,0,0,1,0,2,0,0.250
4월,04.21,KT,0.667,4,3,0,2,1,0,0,3,0,0,1,0,1,0,0.269
4월,04.22,KT,0.000,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0.261
4월,04.23,KT,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.250
