연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2013,NC,0.243,104,458,404,55,98,18,5,14,168,64,12,2,33,15,95,7,0.416,0.319,3
2014,NC,0.329,123,536,477,88,157,28,5,30,285,101,14,5,42,15,128,4,0.597,0.400,3
2015,NC,0.326,144,622,564,112,184,34,5,28,312,135,23,4,32,15,127,9,0.553,0.373,6
2016,NC,0.309,144,653,572,116,177,37,2,22,284,113,7,4,67,9,136,4,0.497,0.388,8
2017,NC,0.347,125,561,498,103,173,42,2,24,291,99,17,7,48,12,116,8,0.584,0.415,8
2018,NC,0.318,144,620,556,110,177,36,3,23,288,91,15,2,44,15,131,11,0.518,0.381,3
2019,NC,0.366,23,106,93,19,34,12,1,4,60,14,2,1,12,1,26,2,0.645,0.443,0
2020,NC,0.324,130,584,525,115,170,37,2,34,313,112,3,1,49,9,148,6,0.596,0.390,0
2021,NC,0.281,144,623,570,96,160,29,1,33,290,101,1,2,38,11,155,5,0.509,0.335,5
2022,KIA,0.320,144,649,563,92,180,39,2,21,286,97,6,1,64,17,137,7,0.508,0.402,3
2023,KIA,0.365,58,253,222,51,81,12,1,18,149,57,0,0,26,1,36,1,0.671,0.427,1
2024,KIA,0.291,102,424,374,51,109,17,1,21,191,80,0,0,38,4,98,8,0.511,0.357,1
2025,KIA,0.268,82,310,261,30,70,16,0,10,116,36,0,0,42,6,79,6,0.444,0.381,0
2026,KIA,0.250,20,86,72,11,18,2,0,3,29,15,0,0,12,1,23,0,0.403,0.360,1
