분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.000,12,11,0,0,0,0,0,0,0,0,0,0,3,0
상대팀별,KT,3,0.067,16,15,1,1,0,0,0,1,0,0,1,0,10,0
상대팀별,LG,1,0.500,5,4,1,2,0,0,1,1,0,1,1,0,2,0
상대팀별,SSG,2,0.167,9,6,2,1,0,0,0,1,0,0,2,1,2,1
상대팀별,두산,3,0.231,14,13,1,3,1,0,0,0,0,0,1,0,3,0
상대팀별,키움,2,0.300,11,10,2,3,0,0,0,1,0,0,1,0,3,0
구장별,대전,8,0.111,39,36,3,4,0,0,0,2,0,0,2,0,16,0
구장별,문학,2,0.167,9,6,2,1,0,0,0,1,0,0,2,1,2,1
구장별,잠실,4,0.294,19,17,2,5,1,0,1,1,0,1,2,0,5,0
월별,3~4월,14,0.169,67,59,7,10,1,0,1,4,0,1,6,1,23,1
요일별,화,2,0.125,10,8,1,1,0,0,0,1,0,0,1,1,7,0
요일별,수,2,0.125,10,8,2,1,0,0,0,0,0,0,2,0,2,1
요일별,목,2,0.222,10,9,1,2,0,0,1,2,0,1,1,0,5,0
요일별,금,2,0.222,9,9,1,2,1,0,0,0,0,0,0,0,1,0
요일별,토,3,0.143,15,14,0,2,0,0,0,1,0,0,0,0,5,0
요일별,일,3,0.182,13,11,2,2,0,0,0,0,0,0,2,0,3,0
홈/방문별,홈,8,0.111,39,36,3,4,0,0,0,2,0,0,2,0,16,0
홈/방문별,방문,6,0.261,28,23,4,6,1,0,1,2,0,1,4,1,7,1
주/야간별,주간,6,0.160,28,25,2,4,0,0,0,1,0,0,2,0,8,0
주/야간별,야간,8,0.176,39,34,5,6,1,0,1,3,0,1,4,1,15,1
기간별,전반기,14,0.169,67,59,7,10,1,0,1,4,0,1,6,1,23,1
