분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.258,31,8,1,0,1,1,2,0,12,0
주자상황별,1루,0.000,6,0,0,0,0,0,0,1,2,0
주자상황별,2루,0.125,8,1,0,0,0,1,1,0,3,0
주자상황별,"1,2루",0.100,10,1,0,0,0,0,1,0,4,1
주자상황별,"1,3루",0.000,2,0,0,0,0,0,1,0,1,0
주자상황별,"2,3루",0.000,2,0,0,0,0,1,0,0,1,0
주자상황별,만루,-,0,0,0,0,0,1,1,0,0,0
주자상황별,주자있음,0.071,28,2,0,0,0,3,4,1,11,1
주자상황별,득점권,0.091,22,2,0,0,0,3,4,0,9,1
볼카운트별,0-0,0.200,5,1,0,0,0,1,0,0,0,0
볼카운트별,1-0,0.500,6,3,0,0,0,1,0,0,0,0
볼카운트별,2-0,0.667,3,2,0,0,1,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,1,1,0,0,0
볼카운트별,0-1,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.167,6,1,0,0,0,0,0,0,0,1
볼카운트별,2-1,1.000,1,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.000,6,0,0,0,0,0,0,0,6,0
볼카운트별,1-2,0.250,8,2,1,0,0,0,0,1,3,0
볼카운트별,2-2,0.000,17,0,0,0,0,0,0,0,12,0
볼카운트별,3-2,0.000,5,0,0,0,0,0,3,0,2,0
이닝별,1회,0.000,10,0,0,0,0,0,0,0,5,1
이닝별,2회,0.000,4,0,0,0,0,0,0,0,3,0
이닝별,3회,0.167,6,1,0,0,0,1,2,0,2,0
이닝별,4회,0.400,5,2,1,0,1,2,2,0,1,0
이닝별,5회,0.167,6,1,0,0,0,0,1,0,2,0
이닝별,6회,0.143,7,1,0,0,0,0,0,0,3,0
이닝별,7회,0.333,6,2,0,0,0,0,0,0,2,0
이닝별,8회,0.250,8,2,0,0,0,0,1,0,1,0
이닝별,9회,0.000,6,0,0,0,0,0,0,1,4,0
이닝별,연장,1.000,1,1,0,0,0,1,0,0,0,0
이닝별,1~3회,0.050,20,1,0,0,0,1,2,0,10,1
이닝별,4~6회,0.222,18,4,1,0,1,2,3,0,6,0
이닝별,7회이후,0.238,21,5,0,0,0,1,1,1,7,0
타순별,4번타자,0.192,52,10,1,0,1,4,6,1,21,1
타순별,6번타자,0.000,7,0,0,0,0,0,0,0,2,0
투수유형별,좌투수,0.250,12,3,0,0,1,2,1,1,2,0
투수유형별,우투수,0.159,44,7,1,0,0,2,5,0,20,1
투수유형별,언더투수,0.000,3,0,0,0,0,0,0,0,1,0
아웃카운트별,0아웃,0.217,23,5,0,0,0,1,1,0,10,0
아웃카운트별,1아웃,0.143,21,3,0,0,1,1,3,1,7,1
아웃카운트별,2아웃,0.133,15,2,1,0,0,2,2,0,6,0
