분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,키움,0.167,6,6,0,1,0,0,0,1,0,0,0,0,2,0,0.167
3월,03.29,키움,0.500,5,4,2,2,0,0,0,0,0,0,1,0,1,0,0.300
3월,03.31,KT,0.000,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0.200
4월,04.01,KT,0.200,6,5,1,1,0,0,0,0,0,0,1,0,2,0,0.200
4월,04.02,KT,0.000,5,5,0,0,0,0,0,1,0,0,0,0,3,0,0.160
4월,04.03,두산,0.400,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0.200
4월,04.04,두산,0.200,5,5,0,1,0,0,0,0,0,0,0,0,2,0,0.200
4월,04.05,두산,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.184
4월,04.07,SSG,0.333,5,3,1,1,0,0,0,1,0,0,1,1,2,0,0.195
4월,04.08,SSG,0.000,4,3,1,0,0,0,0,0,0,0,1,0,0,1,0.182
4월,04.10,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.167
4월,04.11,KIA,0.000,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0.157
4월,04.12,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.145
4월,04.23,LG,0.500,5,4,1,2,0,0,1,1,0,1,1,0,2,0,0.169
