분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,2,0.400,6,5,0,2,0,0,0,1,0,0,1,0,1,0
상대팀별,LG,3,0.222,11,9,0,2,0,0,0,1,0,0,2,0,2,0
상대팀별,NC,3,0.500,12,8,1,4,3,0,1,3,0,0,4,0,1,0
상대팀별,SSG,3,0.300,12,10,1,3,2,0,1,3,0,0,1,0,3,1
상대팀별,두산,3,0.273,12,11,0,3,1,0,0,1,0,0,1,0,3,0
상대팀별,삼성,2,0.375,8,8,2,3,1,0,1,1,0,0,0,0,1,0
상대팀별,키움,3,0.333,13,12,1,4,1,0,0,1,0,0,1,0,5,0
상대팀별,한화,2,0.000,7,7,0,0,0,0,0,0,0,0,0,0,2,0
구장별,고척,3,0.333,13,12,1,4,1,0,0,1,0,0,1,0,5,0
구장별,대구,2,0.375,8,8,2,3,1,0,1,1,0,0,0,0,1,0
구장별,사직,10,0.242,37,33,1,8,3,0,1,5,0,0,3,0,9,1
구장별,잠실,3,0.222,11,9,0,2,0,0,0,1,0,0,2,0,2,0
구장별,창원,3,0.500,12,8,1,4,3,0,1,3,0,0,4,0,1,0
월별,3~4월,21,0.300,81,70,5,21,8,0,3,11,0,0,10,0,18,1
요일별,화,4,0.667,15,12,0,8,3,0,0,5,0,0,3,0,3,0
요일별,수,4,0.000,13,10,0,0,0,0,0,0,0,0,3,0,1,0
요일별,목,3,0.273,13,11,1,3,1,0,1,1,0,0,2,0,3,0
요일별,금,2,0.429,7,7,0,3,1,0,0,1,0,0,0,0,2,0
요일별,토,4,0.250,18,16,3,4,1,0,1,3,0,0,1,0,6,0
요일별,일,4,0.214,15,14,1,3,2,0,1,1,0,0,1,0,3,1
홈/방문별,홈,10,0.242,37,33,1,8,3,0,1,5,0,0,3,0,9,1
홈/방문별,방문,11,0.351,44,37,4,13,5,0,2,6,0,0,7,0,9,0
주/야간별,주간,5,0.278,19,18,2,5,3,0,1,1,0,0,1,0,3,1
주/야간별,야간,16,0.308,62,52,3,16,5,0,2,10,0,0,9,0,15,0
기간별,전반기,21,0.300,81,70,5,21,8,0,3,11,0,0,10,0,18,1
