분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.333,30,10,6,0,2,2,5,0,8,0
주자상황별,1루,0.250,16,4,1,0,1,2,2,0,3,1
주자상황별,2루,0.500,8,4,1,0,0,2,1,0,1,0
주자상황별,3루,0.500,4,2,0,0,0,2,0,0,2,0
주자상황별,"1,2루",0.000,7,0,0,0,0,0,0,0,2,0
주자상황별,"1,3루",0.200,5,1,0,0,0,2,1,0,2,0
주자상황별,만루,-,0,0,0,0,0,1,1,0,0,0
주자상황별,주자있음,0.275,40,11,2,0,1,9,5,0,10,1
주자상황별,득점권,0.292,24,7,1,0,0,7,3,0,7,0
볼카운트별,0-0,0.600,10,6,2,0,1,4,0,0,0,0
볼카운트별,1-0,0.250,8,2,1,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.571,7,4,3,0,0,1,0,0,0,0
볼카운트별,1-1,0.500,6,3,1,0,0,2,0,0,0,1
볼카운트별,2-1,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,1.000,1,1,0,0,1,2,2,0,0,0
볼카운트별,0-2,0.000,6,0,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.111,9,1,0,0,1,1,0,0,7,0
볼카운트별,2-2,0.077,13,1,0,0,0,0,0,0,7,0
볼카운트별,3-2,0.375,8,3,1,0,0,1,6,0,1,0
이닝별,1회,0.182,11,2,0,0,0,3,1,0,2,0
이닝별,2회,0.333,6,2,2,0,0,1,1,0,2,0
이닝별,3회,0.300,10,3,0,0,1,3,2,0,2,0
이닝별,4회,0.333,6,2,1,0,0,0,0,0,2,0
이닝별,5회,0.333,6,2,0,0,2,2,2,0,2,1
이닝별,6회,0.222,9,2,2,0,0,0,3,0,2,0
이닝별,7회,0.167,6,1,0,0,0,1,0,0,3,0
이닝별,8회,0.364,11,4,2,0,0,1,1,0,3,0
이닝별,9회,0.500,4,2,1,0,0,0,0,0,0,0
이닝별,연장,1.000,1,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.259,27,7,2,0,1,7,4,0,6,0
이닝별,4~6회,0.286,21,6,3,0,2,2,5,0,6,1
이닝별,7회이후,0.364,22,8,3,0,0,2,1,0,6,0
타순별,2번타자,0.167,18,3,2,0,1,1,2,0,4,0
타순별,3번타자,0.261,23,6,1,0,0,2,3,0,7,0
타순별,5번타자,0.300,20,6,3,0,2,6,4,0,6,1
타순별,6번타자,0.571,7,4,2,0,0,1,1,0,1,0
타순별,8번타자,1.000,2,2,0,0,0,1,0,0,0,0
투수유형별,좌투수,0.200,20,4,3,0,0,1,2,0,7,1
투수유형별,우투수,0.289,45,13,5,0,3,8,7,0,11,0
투수유형별,언더투수,0.800,5,4,0,0,0,2,1,0,0,0
아웃카운트별,0아웃,0.474,19,9,7,0,1,2,1,0,3,1
아웃카운트별,1아웃,0.290,31,9,1,0,1,7,1,0,8,0
아웃카운트별,2아웃,0.150,20,3,0,0,1,2,8,0,7,0
