분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,삼성,0.500,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0.500
3월,03.29,삼성,0.250,4,4,1,1,0,0,1,1,0,0,0,0,1,0,0.375
3월,03.31,NC,0.667,4,3,0,2,2,0,0,2,0,0,1,0,1,0,0.455
4월,04.01,NC,0.000,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0.385
4월,04.02,NC,0.667,4,3,1,2,1,0,1,1,0,0,1,0,0,0,0.438
4월,04.03,SSG,0.333,3,3,0,1,1,0,0,0,0,0,0,0,1,0,0.421
4월,04.04,SSG,0.333,5,3,1,1,0,0,1,3,0,0,1,0,1,0,0.409
4월,04.05,SSG,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,1,0.385
4월,04.07,KT,0.500,5,4,0,2,0,0,0,1,0,0,1,0,1,0,0.400
4월,04.08,KT,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.387
4월,04.10,키움,0.500,4,4,0,2,0,0,0,1,0,0,0,0,1,0,0.400
4월,04.11,키움,0.200,5,5,1,1,0,0,0,0,0,0,0,0,3,0,0.375
4월,04.12,키움,0.333,4,3,0,1,1,0,0,0,0,0,1,0,1,0,0.372
4월,04.14,LG,1.000,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0.400
4월,04.15,LG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.375
4월,04.16,LG,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.346
4월,04.18,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.321
4월,04.19,한화,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.305
4월,04.21,두산,0.667,4,3,0,2,1,0,0,1,0,0,1,0,1,0,0.323
4월,04.22,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.303
4월,04.23,두산,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.300
