연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2013,NC,0.223,117,361,327,32,73,19,2,3,105,27,1,3,26,1,83,5,0.321,0.282,10
2014,NC,0.188,26,16,16,3,3,0,0,1,6,2,0,1,0,0,7,0,0.375,0.188,0
2015,NC,0.079,65,42,38,4,3,2,0,0,5,2,0,0,2,0,11,0,0.132,0.122,1
2017,NC,0.286,4,7,7,2,2,1,0,0,3,0,0,0,0,0,1,0,0.429,0.286,0
2018,NC,0.283,125,458,420,52,119,21,4,11,181,42,4,3,33,2,92,8,0.431,0.337,15
2019,NC,0.264,110,390,348,51,92,23,2,13,158,43,0,1,31,2,80,7,0.454,0.326,5
2020,NC,0.274,132,484,427,70,117,22,3,20,205,82,0,4,49,5,106,8,0.480,0.356,9
2021,NC,0.288,107,384,330,41,95,22,0,8,141,58,1,1,42,5,90,3,0.427,0.374,8
2022,NC,0.280,115,451,396,50,111,24,0,15,180,75,2,0,45,2,105,11,0.455,0.353,16
2023,롯데,0.257,113,390,334,43,86,26,1,4,126,51,7,2,45,3,84,3,0.377,0.347,11
2024,롯데,0.219,73,157,137,13,30,6,0,2,42,13,0,0,15,1,39,1,0.307,0.297,8
2025,롯데,0.270,28,69,63,11,17,1,2,1,25,5,0,0,5,1,20,0,0.397,0.333,2
2026,롯데,0.300,21,81,70,5,21,8,0,3,38,11,0,0,10,0,18,1,0.543,0.383,1
