분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.308,13,13,1,4,0,0,1,1,1,0,0,0,2,1
상대팀별,KT,2,0.000,8,8,0,0,0,0,0,0,0,0,0,0,2,0
상대팀별,LG,2,0.000,8,7,0,0,0,0,0,0,0,0,1,0,4,0
상대팀별,SSG,2,0.250,8,8,2,2,1,0,1,3,0,0,0,0,1,0
상대팀별,두산,2,0.333,8,6,0,2,2,0,0,3,0,0,2,0,1,0
상대팀별,롯데,3,0.273,13,11,2,3,0,0,0,1,0,0,2,0,4,0
상대팀별,삼성,3,0.222,12,9,2,2,0,0,1,1,0,0,0,3,1,0
상대팀별,키움,3,0.200,11,10,1,2,0,0,0,1,0,0,0,0,2,1
구장별,고척,3,0.200,11,10,1,2,0,0,0,1,0,0,0,0,2,1
구장별,광주,3,0.308,13,13,1,4,0,0,1,1,1,0,0,0,2,1
구장별,대구,3,0.222,12,9,2,2,0,0,1,1,0,0,0,3,1,0
구장별,창원,11,0.175,45,40,4,7,3,0,1,7,0,0,5,0,12,0
월별,3~4월,20,0.208,81,72,8,15,3,0,3,10,1,0,5,3,17,2
요일별,화,3,0.100,12,10,1,1,0,0,0,1,0,0,1,0,5,0
요일별,수,4,0.125,17,16,0,2,0,0,0,0,0,0,1,0,5,1
요일별,목,3,0.200,11,10,2,2,0,0,0,1,0,0,1,0,2,0
요일별,금,2,0.375,9,8,1,3,0,0,1,1,0,0,0,1,0,1
요일별,토,4,0.188,18,16,2,3,1,0,1,3,1,0,1,1,4,0
요일별,일,4,0.333,14,12,2,4,2,0,1,4,0,0,1,1,1,0
홈/방문별,홈,11,0.175,45,40,4,7,3,0,1,7,0,0,5,0,12,0
홈/방문별,방문,9,0.250,36,32,4,8,0,0,2,3,1,0,0,3,5,2
주/야간별,주간,5,0.333,18,15,2,5,3,0,1,6,0,0,2,1,1,0
주/야간별,야간,15,0.175,63,57,6,10,0,0,2,4,1,0,3,2,16,2
기간별,전반기,20,0.208,81,72,8,15,3,0,3,10,1,0,5,3,17,2
