분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.250,32,8,2,0,2,2,0,0,8,0
주자상황별,1루,0.100,20,2,0,0,1,2,1,1,5,2
주자상황별,2루,0.250,4,1,0,0,0,0,4,1,1,0
주자상황별,3루,0.500,2,1,0,0,0,1,0,0,0,0
주자상황별,"1,2루",0.429,7,3,1,0,0,3,0,1,1,0
주자상황별,"1,3루",-,0,0,0,0,0,0,0,0,0,0
주자상황별,"2,3루",0.000,5,0,0,0,0,1,0,0,2,0
주자상황별,만루,0.000,2,0,0,0,0,1,0,0,0,0
주자상황별,주자있음,0.175,40,7,1,0,1,8,5,3,9,2
주자상황별,득점권,0.250,20,5,1,0,0,6,4,2,4,0
볼카운트별,0-0,0.250,8,2,0,0,0,1,0,0,0,0
볼카운트별,1-0,0.286,7,2,2,0,0,0,0,1,0,0
볼카운트별,2-0,0.250,4,1,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.750,4,3,1,0,2,5,0,1,0,1
볼카운트별,1-1,0.400,5,2,0,0,0,0,0,1,0,0
볼카운트별,2-1,0.500,2,1,0,0,0,1,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.000,6,0,0,0,0,0,0,0,2,0
볼카운트별,1-2,0.143,14,2,0,0,1,2,0,0,6,0
볼카운트별,2-2,0.077,13,1,0,0,0,0,0,0,5,0
볼카운트별,3-2,0.125,8,1,0,0,0,0,2,0,4,1
이닝별,1회,0.083,12,1,0,0,0,0,2,1,1,0
이닝별,2회,0.167,6,1,0,0,0,1,0,0,2,0
이닝별,3회,0.182,11,2,0,0,0,0,0,1,3,1
이닝별,4회,0.250,8,2,1,0,0,1,0,0,2,1
이닝별,5회,0.300,10,3,0,0,0,2,1,0,1,0
이닝별,6회,0.333,6,2,1,0,1,3,0,0,2,0
이닝별,7회,0.200,10,2,1,0,1,2,1,1,5,0
이닝별,8회,0.333,3,1,0,0,0,0,0,0,0,0
이닝별,9회,0.167,6,1,0,0,1,1,1,0,1,0
이닝별,1~3회,0.138,29,4,0,0,0,1,2,2,6,1
이닝별,4~6회,0.292,24,7,2,0,1,6,1,0,5,1
이닝별,7회이후,0.211,19,4,1,0,2,3,2,1,6,0
타순별,3번타자,0.212,33,7,0,0,1,2,2,1,9,1
타순별,4번타자,0.200,20,4,2,0,1,5,3,2,6,0
타순별,5번타자,0.000,4,0,0,0,0,0,0,0,1,0
타순별,6번타자,0.364,11,4,1,0,1,3,0,0,0,1
타순별,8번타자,0.000,4,0,0,0,0,0,0,0,1,0
투수유형별,좌투수,0.056,18,1,0,0,0,1,1,1,5,0
투수유형별,우투수,0.260,50,13,2,0,3,6,4,2,12,2
투수유형별,언더투수,0.250,4,1,1,0,0,3,0,0,0,0
아웃카운트별,0아웃,0.129,31,4,1,0,1,1,0,0,10,1
아웃카운트별,1아웃,0.308,13,4,1,0,1,3,3,2,2,1
아웃카운트별,2아웃,0.250,28,7,1,0,1,6,2,1,5,0
