분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,두산,0.333,4,3,0,1,1,0,0,2,0,0,1,0,0,0,0.333
3월,03.29,두산,0.333,4,3,0,1,1,0,0,1,0,0,1,0,1,0,0.333
3월,03.31,롯데,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.300
4월,04.01,롯데,0.250,5,4,0,1,0,0,0,0,0,0,1,0,2,0,0.286
4월,04.02,롯데,0.333,4,3,1,1,0,0,0,1,0,0,1,0,1,0,0.294
4월,04.03,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0.286
4월,04.04,KIA,0.400,5,5,1,2,0,0,1,1,1,0,0,0,2,0,0.308
4월,04.05,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.300
4월,04.07,LG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.273
4월,04.08,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.243
4월,04.10,삼성,0.500,5,4,1,2,0,0,1,1,0,0,0,1,0,0,0.268
4월,04.11,삼성,0.000,5,4,1,0,0,0,0,0,0,0,0,1,1,0,0.244
4월,04.12,삼성,0.000,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0.239
4월,04.15,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.220
4월,04.16,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.204
4월,04.18,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.190
4월,04.19,SSG,0.500,4,4,2,2,1,0,1,3,0,0,0,0,0,0,0.210
4월,04.21,키움,0.000,4,3,0,0,0,0,0,1,0,0,0,0,2,0,0.200
4월,04.22,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0.203
4월,04.23,키움,0.333,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0.208
