분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,3,0.250,13,12,3,3,0,0,1,1,0,0,1,0,2,2
상대팀별,LG,3,0.333,13,12,2,4,0,0,0,2,0,0,1,0,2,0
상대팀별,NC,3,0.333,10,9,1,3,1,0,0,0,0,0,1,0,1,1
상대팀별,SSG,1,0.333,4,3,0,1,1,0,0,1,0,0,1,0,0,0
상대팀별,두산,3,0.100,10,10,1,1,0,0,0,0,0,0,0,0,0,1
상대팀별,삼성,2,0.300,11,10,3,3,1,0,0,0,0,0,1,0,2,0
상대팀별,키움,3,0.333,14,12,2,4,0,0,0,0,0,0,2,0,1,0
상대팀별,한화,3,0.417,15,12,2,5,1,0,0,2,1,0,1,0,1,0
구장별,광주,8,0.323,35,31,6,10,2,0,0,0,0,0,4,0,4,1
구장별,대전,3,0.417,15,12,2,5,1,0,0,2,1,0,1,0,1,0
구장별,문학,1,0.333,4,3,0,1,1,0,0,1,0,0,1,0,0,0
구장별,수원,3,0.250,13,12,3,3,0,0,1,1,0,0,1,0,2,2
구장별,잠실,6,0.227,23,22,3,5,0,0,0,2,0,0,1,0,2,1
월별,3~4월,21,0.300,90,80,14,24,4,0,1,6,1,0,8,0,9,4
요일별,화,4,0.278,20,18,4,5,1,0,0,1,0,0,2,0,4,1
요일별,수,4,0.278,19,18,3,5,0,0,1,2,0,0,1,0,2,1
요일별,목,3,0.400,12,10,3,4,0,0,0,0,0,0,2,0,1,0
요일별,금,3,0.200,13,10,2,2,2,0,0,1,0,0,2,0,1,0
요일별,토,3,0.231,13,13,1,3,0,0,0,0,0,0,0,0,1,2
요일별,일,4,0.455,13,11,1,5,1,0,0,2,1,0,1,0,0,0
홈/방문별,홈,8,0.323,35,31,6,10,2,0,0,0,0,0,4,0,4,1
홈/방문별,방문,13,0.286,55,49,8,14,2,0,1,6,1,0,4,0,5,3
주/야간별,주간,5,0.438,18,16,2,7,1,0,0,2,1,0,1,0,1,0
주/야간별,야간,16,0.266,72,64,12,17,3,0,1,4,0,0,7,0,8,4
기간별,전반기,21,0.300,90,80,14,24,4,0,1,6,1,0,8,0,9,4
